Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100200739,950815489,246272177,55808158,216498249,216941243,0,0,0,0,0,0,1913734,1917115,202344659,446803801,434299148,86625623,227159,161001851,0,294584070,8112925,95150978,74981064,74984062,636477,993979,485036544,158239217
     0.200633969,1126666191,308126478,309461191,271677481,272046017,0,0,0,0,0,0,2399267,2399501,254188810,556581239,516452304,104624811,307059,180757157,0,343834867,9917273,140118200,96991092,96989193,788758,1337474,584509868,193080197
     0.300989012,972939983,302030350,308156662,271545037,271860217,0,0,0,0,0,0,2396520,2396773,254150514,558153261,389014958,104598097,275943,158502900,0,320200659,9087518,198132366,103525002,103525201,520999,856410,569446853,187276870
     0.401357039,1196170726,309531455,307941175,271451606,271921792,0,0,0,0,0,0,2393721,2401881,254501786,560118275,535845138,105204787,286744,187854664,0,358679987,10332225,129020553,120265528,105440557,821030,1383040,606531547,197182244
     0.501712025,1157949207,307078129,308619875,270942947,271852450,0,0,0,0,0,0,2377974,2394788,253982304,557234287,539226791,104588874,296177,188853271,0,359657164,10382373,122938038,99905473,99905466,831350,1404955,578851651,191395986
     0.602079450,1190178634,308372035,308665294,270439176,271884539,0,0,0,0,0,0,2327884,2403631,254161435,545266005,537402795,102216794,303186,184510982,0,353748443,10220539,128868258,102221836,94338131,818451,1381573,596784896,194161427
     0.702449799,1200457265,309554445,307917348,271478409,271925733,0,0,0,0,0,0,2377207,2397675,253846398,524266092,540085729,98405756,327649,180360043,0,344991915,9979628,122829817,95684504,94232664,837811,1407891,605670984,196259254
     0.802808793,1179897921,307642195,308879761,271117327,271527623,0,0,0,0,0,0,2393599,2393862,253659334,551501992,533500345,103663032,323048,184358154,0,350555908,10192209,125973772,101768961,98948426,825472,1386220,600807920,195837467
     0.903184490,1141246264,308312227,308359890,271593305,271850399,0,0,0,0,0,0,2277182,2391961,253894056,551446951,514152232,103346645,292875,121103747,0,236635564,7779949,133599457,95876557,95113701,802481,1352110,590560294,194250632
     1.003540862,1179536140,308380976,308395306,271544544,271882072,0,0,0,0,0,0,2365861,2399676,254691760,532250375,526548187,99875386,399266,178484990,0,343599078,9958731,128885894,94485874,94486332,809791,1367154,599384695,194799572
     1.103906104,1177631204,307237258,309467096,269533906,271929240,0,0,0,0,0,0,2379074,2403130,254465304,543919149,537422692,101957649,289210,189736816,0,361285566,10480203,125941940,112834143,103019277,831540,1393478,595365995,193575113
     1.204290921,1142757139,308404190,308695003,271476413,271949624,0,0,0,0,0,0,2385497,2398788,254386020,558364682,523869347,104824258,298481,184970613,0,351933744,10270119,123534058,93651969,93651932,833801,1397931,581934867,192057514
     1.304642286,1166843883,308361498,307863895,271390962,271857049,0,0,0,0,0,0,2312331,2394112,253878196,545924141,518622084,102419947,311395,187757409,0,355620961,10387093,139701321,97524840,97524765,794524,1337066,601246050,194949966
     1.405004206,1195861820,309114477,309297822,271610572,271886885,0,0,0,0,0,0,2397341,2397588,254206591,535255391,536747011,100410352,349495,181857169,0,346507124,10036365,123933140,97160599,96779174,814538,1386891,610057581,198506875
     1.505368720,1176562651,309331294,308073028,269084812,271731111,0,0,0,0,0,0,2309553,2391098,247949711,548549816,528242072,103078751,328060,181003151,0,345366466,10052745,129075947,96925188,96924938,815133,1373099,600853987,195658695
     1.605749283,1152051186,307995819,308624862,271546598,271772048,0,0,0,0,0,0,2293694,2403381,254842281,543938956,519240868,101829135,284527,185998123,0,355363011,10336888,126858316,95554438,95554205,827138,1394203,585909439,193198213
     1.706123300,1176191981,308354213,308703388,271466282,271874352,0,0,0,0,0,0,2391162,2391512,253185530,519871997,536031795,97360010,385244,186778693,0,354362695,10332390,124256056,97651750,97651780,835955,1412728,585703505,190404353
     1.806476347,1170612203,308261426,309374535,269560753,271919477,0,0,0,0,0,0,2387309,2396074,253749988,539548143,534047122,101183979,291416,180508657,0,343492377,9948226,124562428,98881811,98881928,834827,1411364,585769397,190757468
     1.906829306,1125269084,308347826,307923207,271570218,271890676,0,0,0,0,0,0,2395873,2401109,254230288,556303917,506475337,104224433,298982,188786724,0,357790646,10392313,127251965,93784850,93784766,813148,1380575,584261896,193001911
     2.007173304,1189640912,308327496,308581123,271413708,271841591,0,0,0,0,0,0,2337183,2399677,254270652,554285260,532158943,104097413,302669,187595717,0,357626091,10426956,130094363,96204720,96204730,805842,1355412,599586460,194481382
     2.107521692,1195678972,309485755,308630234,271313336,271856945,0,0,0,0,0,0,2402292,2402298,252977714,538618378,540225430,101117188,360405,185206210,0,352367963,10212285,126061407,98790442,96030206,827474,1398105,605710592,197524280
     2.207881332,1188100198,306918573,308368967,271352955,271837303,0,0,0,0,0,0,2395552,2395776,253269580,542092220,537947939,101631139,326835,181955882,0,346053321,10045212,120128359,98881211,98783267,841295,1417097,604633904,197371951
     2.308245206,1148487331,309424903,307908589,269469793,271737193,0,0,0,0,0,0,2262788,2390675,253084462,545056792,514407781,102157045,291935,182435489,0,347290172,10054676,132699926,102585773,102585861,813089,1369914,590777736,193849835
     2.408596345,1157680225,309289344,308839833,269499695,271838142,0,0,0,0,0,0,2388325,2394918,253547611,520746093,520654989,97506086,394434,188314123,0,358218544,10379650,136056632,102505514,102505333,801191,1359825,589294992,191679256
     2.508944328,1205036000,309311797,307767318,270821448,271869636,0,0,0,0,0,0,2396419,2396636,252721639,537181815,542017784,100682500,313635,187031782,0,357718523,10332455,122241791,94985796,94898278,829776,1401671,614787162,200239322
     2.609312501,1161881953,309342250,309335818,271519811,271870760,0,0,0,0,0,0,2374034,2400672,253753465,565725182,522322993,106078265,311399,186317677,0,354329649,10256676,119251184,93898845,93898808,839328,1409289,600137602,197598725
     2.709688871,1203395202,308291420,308569000,269109628,271912720,0,0,0,0,0,0,2311359,2393678,253295465,549188464,547832377,102764404,331099,190957064,0,364046176,10532087,117377872,96178136,96178197,849119,1441434,596035444,193980594
     2.810056515,1165579206,309289137,309283215,271467049,271856120,0,0,0,0,0,0,2395302,2395506,253021492,529806909,528658344,99317106,300296,186966745,0,355744839,10357636,123851056,93047480,92393713,822946,1395232,589254271,191275931
     2.910482889,1215638531,307944261,308279560,271153296,271841174,0,0,0,0,0,0,2397275,2397480,252718070,565603258,540105741,106322241,302240,192497161,0,363873716,10631307,108766087,88809648,88489662,830018,1401926,629698738,205314070
     3.010857091,1196189843,308871865,307079590,269340317,271817262,0,0,0,0,0,0,2263369,2394182,252845517,577085855,536489072,108072665,296131,190093206,0,361865020,10535571,113582284,88103046,88102869,864182,1456233,614552102,201116919
     3.111229776,1212064532,309307715,308952698,269487324,271845916,0,0,0,0,0,0,2399114,2401518,252955435,514716307,545236904,96455336,455982,196896195,0,373985288,10935229,119743060,93417929,93418168,842277,1426294,619033414,200695487
     3.211586391,1236375802,309237439,309193550,271356512,271885931,0,0,0,0,0,0,2394476,2400310,253107826,572309968,558460062,107179952,298225,191997579,0,365978042,10643553,105797881,84337578,84337453,869192,1458493,625874315,202946022
     3.311955788,1185684314,309072472,306875597,271297496,271582343,0,0,0,0,0,0,2375375,2394214,252503965,568413071,520658075,106508992,301744,198968594,0,378287742,11061962,120818179,90224115,90224150,810094,1340399,585579680,196726990
     3.412332363,1232158751,309247003,308416490,270615978,271748093,0,0,0,0,0,0,2323893,2397897,253103691,576114196,555732176,107784318,332441,196868502,0,375603238,10868293,113999085,89636168,89636251,854867,1449654,619510639,201824304
     3.512737527,1254532692,308295286,309216486,269130815,271857749,0,0,0,0,0,0,2395956,2396203,252856897,554246120,569774232,103977708,358226,194828008,0,370290365,10734359,101027655,86995556,86060019,888657,1499846,630637798,204389693
     3.613136003,1244336693,309005462,308483927,271426859,271896347,0,0,0,0,0,0,2397005,2397229,253199655,569050707,556440827,106390627,335462,201295526,0,381252307,11128165,110217462,87818299,87698919,860207,1440756,637311918,207018905
     3.713512175,1205257416,309027150,308242026,269479216,271734691,0,0,0,0,0,0,2276106,2388892,252735514,573053284,534388569,107248373,342848,193206790,0,367731927,10689431,119672738,88283866,88283937,812315,1357233,622917873,202269018
     3.813870755,1229248713,309269447,308508661,269358960,271714817,0,0,0,0,0,0,2401067,2401064,253182025,548871337,553231507,102748665,398745,200013154,0,380187374,10994680,115416005,88732682,88732485,849670,1436608,609747591,201241508
     3.914232791,1124929856,309298390,306028070,271301247,271788902,0,0,0,0,0,0,2393739,2393950,251970058,570776880,453787354,107119705,279389,194355959,0,368213789,10733300,189407256,88772343,85350685,548743,909985,601372936,197174959
     4.014640152,1201436922,309539727,308746522,271632826,272014058,0,0,0,0,0,0,1768539,2394769,253141689,580496317,531123752,108532987,351475,199426009,0,378627687,10994580,136282868,100103241,97031707,805663,1347508,623739303,202560058
     4.114992248,1226511794,309228487,308449209,270033319,271708359,0,0,0,0,0,0,2310998,2401050,253172157,579298425,552331929,108519064,364342,197722058,0,377383020,10839931,114743129,90878918,90878938,858450,1444931,608666971,198880241
     4.215363786,1220768872,309302039,309258547,270718490,271852730,0,0,0,0,0,0,2401541,2401537,253376678,553767463,548897197,103725717,314344,195649286,0,372495133,10839612,117738124,91481958,91482040,844095,1421717,620748923,200832559
     4.315716906,1234157688,308103649,308345048,271253725,271711932,0,0,0,0,0,0,2394306,2394543,252827994,573103405,552212810,106938639,304891,194365680,0,367563008,10709996,109253586,87391560,87391499,859340,1439806,630773596,203982823
     4.416081466,1210546328,309062344,307730546,271257796,271710478,0,0,0,0,0,0,2331531,2391375,252299949,570922864,537717855,107000033,280926,191033332,0,364463724,10724520,124769524,87031893,87031907,814510,1369119,625355950,202652620
     4.516418051,1234759647,308129752,308718333,271386106,271742643,0,0,0,0,0,0,2400830,2400828,253109694,553065538,549079765,103555657,340800,118122928,0,236324819,7728570,118209785,101532723,91841074,817154,1375386,612372520,200239318
