Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100175408,1780870403,308689947,307684695,270669211,270777826,0,0,0,0,0,0,2395016,2395055,260488258,798766749,776510207,152831862,248331,267046412,0,524767984,5814112,30339177,3913497,3913611,31266,26318,890024635,279152497
     0.200583266,1786750276,309925982,309900708,271968343,272203125,0,0,0,0,0,0,2398794,2405850,261446584,804473336,779083012,153911273,232768,270601708,0,524989577,5895627,30258468,4092908,4092861,36338,26099,893600479,280322693
     0.300937997,1739502537,305737423,308429658,271662941,271867035,0,0,0,0,0,0,2396012,2401453,261156054,801879541,752531351,153666875,208943,270578833,0,524818094,5886534,29905553,3806222,3806212,38050,26352,879853288,276986274
     0.401285698,1790333149,309815037,308926333,271621665,271960341,0,0,0,0,0,0,2347190,2404954,261261962,799839750,780926981,153236877,239118,265878214,0,528533148,5847890,30013198,3675940,3675935,32162,23708,893500430,280433507
     0.501615704,1787473654,309780838,309672754,271832462,271721906,0,0,0,0,0,0,2397836,2403890,261483213,792333371,780693229,151857167,289654,268646772,0,526410603,5879802,30211776,3911097,3911100,29772,22323,891923493,280089815
     0.601962497,1777534717,309626549,309712849,271806152,271982303,0,0,0,0,0,0,2398905,2399114,261456370,801933268,774462128,153856179,250142,265791518,0,529751029,5837550,32244843,4228325,4069264,42830,26382,890042024,279970190
     0.702307753,1778917846,309623898,309720067,269632610,271953647,0,0,0,0,0,0,2266691,2397811,261232855,792954847,772113871,152044155,372521,266426902,0,528782779,5842003,31228994,3688060,3688061,44094,30445,890910952,279895711
     0.802654629,1635757019,308795461,308530687,271642406,271800995,0,0,0,0,0,0,2404497,2404498,261676575,779322493,720677915,149411132,353268,263396334,0,529875836,5866216,26499378,3792694,3792698,51405,30868,827487024,276937687
     0.902994651,1784583007,309772579,309695675,271790924,271963887,0,0,0,0,0,0,2401229,2404256,261676790,802160041,777810330,153856965,209411,267474728,0,527986360,5865448,25570084,2721474,2721472,30076,22852,891693353,280213310
     1.003357016,1768972325,309725399,308993107,271844225,272023050,0,0,0,0,0,0,2398297,2404323,261375784,800708301,760838936,153394898,223872,265985798,0,529280759,5893505,29853568,2667631,2667632,50109,25518,892683871,280323630
