Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100218629,<not counted>,<not counted>,40898058,163970096,164511909,0,0,0,0,0,0,1440984,1451524,155666591,424441774,<not counted>,80945732,210908,158901991,0,319782447,3731983,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.200546373,1464105582,253685129,252802875,222526343,223312966,0,0,0,0,0,0,1964340,1966000,208941277,622166850,639307622,118449115,370622,<not counted>,<not counted>,<not counted>,<not counted>,25466232,5811823,4585713,72706,53021,727117020,228532416
     0.301134454,1755209916,304615043,304269415,267420233,268103268,0,0,0,0,0,0,1962873,2357038,247164305,710487337,767328424,135602847,558941,250849193,0,517572840,6304516,30618193,6336057,5441356,77558,62175,871198532,274366874
     0.401404664,1743468380,303834060,303827223,266820800,267712745,0,0,0,0,0,0,2327786,2356079,251714600,779482626,761934624,148810892,378268,250936182,0,520239867,6236476,32430154,6492694,5369264,88934,67576,867738659,273527383
     0.501708645,1705651076,305764674,305410768,266560231,269185550,0,0,0,0,0,0,2325268,2368882,252054882,781878082,742021625,149427948,412035,201602106,0,417795114,7362642,31059086,3922457,3919287,79163,62096,860291770,274363798
     0.602026623,1535797554,300012764,300803296,266155251,267111296,0,0,0,0,0,0,2355894,2355894,251587021,768339060,626942235,146486248,440649,253450122,0,516783042,6272418,46965111,6382032,6382042,140659,92197,830142869,262653652
     0.702402591,1735700806,302210923,302110768,265357965,266122415,0,0,0,0,0,0,2345608,2346785,250427988,775653777,757243348,147722652,365075,250443149,0,515473626,6419693,25925249,3917595,3917583,89939,71491,865714956,272249729
     0.802716288,1705154120,301737820,300540021,261312229,265646242,0,0,0,0,0,0,2337181,2343565,249927500,705476848,748821028,134739615,429120,248455501,0,516400866,6179717,31145939,9107744,5205891,94588,76241,844796000,271604880
     0.903019039,1725749842,301229710,301461398,263235753,266107467,0,0,0,0,0,0,2270821,2341678,245879898,771841707,759207198,147178618,376502,246821187,0,509531388,6372748,30633760,5219015,5219020,81699,66258,857614880,270637028
     1.003334006,1704159751,299647393,298077099,262679046,263756042,0,0,0,0,0,0,2309505,2326052,247382780,764150580,753667559,145898312,396506,249887236,0,514499223,6029672,32377437,4953639,4953627,98765,71086,825922061,263998471
