Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100334865,<not counted>,<not counted>,28106710,<not counted>,110387993,0,0,0,0,0,0,936604,964748,99082675,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.201116637,<not counted>,<not counted>,<not counted>,54826097,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,0,465813,489009,51210712,67004832,<not counted>,13120635,70513,9045520,0,17761257,603293,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.301910601,306133036,82278793,136007826,<not counted>,189653010,0,0,0,0,0,0,1671864,1671813,173900610,<not counted>,117723487,<not counted>,<not counted>,33156801,0,63468735,2226329,12575434,9845676,9413585,128853,142374,206022072,67376398
     0.402232658,1155304824,306483428,308027583,268342252,271124244,0,0,0,0,0,0,2386415,2386637,247638446,484783310,513062539,91592625,462758,89730302,0,186532548,6505229,123852017,90438585,89811163,803750,1327439,594677165,199150359
     0.502532549,1208117755,307013781,307103128,270301644,271141360,0,0,0,0,0,0,2066284,2371970,241826296,546019261,547685393,102740762,406852,153925623,0,327950506,9461970,114233007,92985888,91667451,848197,1442565,602540881,195974908
     0.602822837,1205808123,307927307,307558298,270080785,271073870,0,0,0,0,0,0,2313399,2390271,249608781,558025438,541483025,104969364,580607,189775522,0,361319027,10570846,118201912,97772337,89003877,842387,1411677,613294002,199637529
     0.703141296,1164350251,307989289,306276496,270117880,270466765,0,0,0,0,0,0,2265802,2388566,248430383,553844581,540289785,104282526,422176,187972189,0,357583358,10706160,117862297,89460131,89460257,836441,1392539,510486183,184018944
     0.803439960,615007432,296754932,301800329,267984859,271061363,0,0,0,0,0,0,2362724,2394128,250327510,527410104,208461373,98931924,471201,181078304,0,345992563,10254550,173655695,95607051,95606935,428011,650351,457750199,151467096
     0.903734907,1181454344,308031416,307644978,270392419,271037211,0,0,0,0,0,0,2391565,2391566,249628028,563680937,534522970,105899012,357937,184235700,0,350760480,10432846,118419206,112270748,102306221,842903,1404339,602428168,196659558
     1.004007569,1165564489,307782462,307586306,258954799,270921391,0,0,0,0,0,0,2218061,2380440,242857069,227937151,535671168,43295162,425782,178547033,0,343960771,10123105,118401313,91689797,90955213,842901,1409888,589304550,194206624
     1.104278696,1207497909,306764300,307371514,269816534,271171293,0,0,0,0,0,0,2103837,2392509,250328105,553035913,543841507,104478704,439998,186858625,0,354117117,10622495,122803655,94318700,91824072,853175,1407004,610928856,198011333
     1.204592301,1206433530,307963229,307377798,270546195,271305097,0,0,0,0,0,0,2376906,2386881,248768329,531620155,542979719,99676735,516441,177613508,0,343638646,10136205,115524977,91400602,90672097,850344,1421185,615874157,200489856
     1.305022311,1041322107,305187359,305459763,268549322,270692402,0,0,0,0,0,0,2390155,2392886,250106402,555901844,476859133,104198134,418295,189685524,0,358769822,10553177,125318192,98293132,96712395,828559,1380857,539503992,177717976
     1.405536104,843188424,306105272,306489404,271480954,271961324,0,0,0,0,0,0,2313049,2395694,249851021,559738636,398573800,105221506,399198,189801030,0,360527163,10623133,130758067,171567746,167611801,806215,1349424,466008278,167312759
     1.505849496,1211274081,308335657,307403807,268657063,271245143,0,0,0,0,0,0,2383722,2384114,249887505,374522670,546571681,70183384,555088,64803082,0,139621249,4887073,114707420,91573250,90908639,855977,1424782,614726616,200366973
     1.606198476,1188522430,307724400,308081736,270084582,271108721,0,0,0,0,0,0,1859490,2337000,237871423,546291769,533295159,103096753,479592,186735067,0,356393522,10465620,122135368,98465210,98113425,835000,1382646,606878781,198574215
     1.706585885,1157181636,307453752,306879245,269878582,270980267,0,0,0,0,0,0,2341362,2381364,246622079,559525110,530668880,104919224,427406,190092445,0,361713703,10591063,114673711,92287904,92287092,854114,1431690,588541580,194641973
     1.806925058,1187581322,308098152,306889053,270113186,271076691,0,0,0,0,0,0,2317443,2391583,249405683,561824414,538114300,105324792,385259,189235335,0,359742590,10858808,122292264,104313394,100009668,833268,1398889,589753472,197527053
     1.907263125,722351430,306235288,308055656,269602124,271230273,0,0,0,0,0,0,2367256,2382096,248553922,536752611,394639282,100942311,459839,186195733,0,353680667,10532257,129170723,99313314,98457150,813215,1355720,394223912,142129540
     2.007586897,1194143526,307757374,307571299,270310261,270928405,0,0,0,0,0,0,2375967,2385172,247742528,379311403,534043005,71430570,469699,179857373,0,344563094,10177979,126399418,131166341,126975331,828400,1379305,609426179,198632815
