Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100793443,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.201640594,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.302162279,<not counted>,<not counted>,33886383,<not counted>,72370398,0,0,0,0,0,0,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.402487833,1171891635,309181090,308183079,271051547,271649194,0,0,0,0,0,0,2080812,2396827,253180066,552157373,532152232,105196341,342723,186207570,0,351216942,10297963,109266880,89124447,89124440,837311,1385814,608310685,201966160
     0.502920262,1186828888,308913947,308738097,270267626,271614234,0,0,0,0,0,0,2344171,2381431,252048519,560409935,523744028,104809540,366885,194045798,0,369220782,10766624,132122540,86632847,86632872,786241,1319335,613994717,200715874
     0.603262002,831016353,307810327,307861408,271014665,271309760,0,0,0,0,0,0,2398469,2398475,253597128,545332405,416550340,102313330,332700,187060763,0,357033224,10408963,128374709,93567863,93130491,781684,1305259,366266718,237814385
     0.703590087,1188576518,306594448,305862766,271314399,271631020,0,0,0,0,0,0,2391355,2394462,252725480,574054553,530511473,107577501,365176,197089658,0,375136105,10891597,118724494,95500280,93494351,817827,1369116,615901124,200117860
     0.803887682,1209107623,309222583,307941223,271279213,271474315,0,0,0,0,0,0,2240622,2388116,252740425,572774168,540754318,107443433,374032,193202029,0,368908577,10698543,120755965,88638082,88638179,823269,1397576,619496643,200972737
     0.904215851,1216260525,306904024,307791047,268883911,271647850,0,0,0,0,0,0,2255712,2392712,251887209,504471391,550552961,94632743,434722,192206406,0,367422429,10695571,109901726,88779939,88779951,846937,1447040,622953420,202253877
     1.004554225,1213227850,308114955,308383403,268826518,271805377,0,0,0,0,0,0,2376125,2400748,253640663,569820343,540824244,106930494,359907,184599577,0,354823648,10314302,128210432,108816263,107564183,814372,1375390,613527602,198824476
