Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100229784,897114802,308126718,268699615,269540712,270498177,0,0,0,0,0,0,2108044,2371773,260444217,656447521,424331508,152296139,190748,322317001,0,395829986,4183816,72209727,54443402,54444248,1645977,3943761,618059925,221101131
     0.200639217,753081023,308391220,309434556,271520598,272027217,0,0,0,0,0,0,2402939,2402932,264455994,542528397,359340865,127592416,159291,236155310,0,349634331,4500907,112347839,100605538,100605419,1556978,3975841,522462886,189446292
     0.300997428,652851901,308220015,307773539,271395743,271792280,0,0,0,0,0,0,2391709,2396778,265284403,482119965,310459912,115061623,123524,244857426,0,291622323,2667936,133701451,107968969,107969267,1512957,3936787,475092146,177426994
     0.401333994,643212910,309229519,308503255,270439278,271766130,0,0,0,0,0,0,2256146,2394323,265444046,465353438,303597540,111886042,123694,229380331,0,281021388,2433447,154752187,125269285,125268980,1457281,3876774,462594356,169799415
     0.501647186,641186943,309334703,308816292,271116966,271585474,0,0,0,0,0,0,2177319,2401521,264544576,420368181,302554099,101823372,259501,223540538,0,278942715,2376576,157284109,144405004,139287261,1465631,3835318,458072891,168563487
     0.601972168,617451757,308161294,309179502,271491663,271724753,0,0,0,0,0,0,2389724,2395054,265536026,445116910,289835627,107884149,116853,209768473,0,259930967,2253224,164539366,129865107,129367741,1437717,3815402,448294577,165810075
     0.702300362,593932975,309496037,309181851,271483046,271722436,0,0,0,0,0,0,2319050,2400657,266225142,436935555,278028121,106153383,113908,211665029,0,265881816,2277942,165254566,131653217,131653697,1472624,3837258,437555638,165911192
     0.802626415,595129377,309380877,309347638,271398919,271783417,0,0,0,0,0,0,2390785,2401958,266319631,403482459,280095255,98365356,217242,209958054,0,258345093,2020948,170116308,140074485,137855668,1461047,3869465,434481575,160900172
     0.902892809,615158813,309172061,309179072,271333782,271703001,0,0,0,0,0,0,2400944,2400938,266630768,436200809,291863396,105090328,125698,196638238,0,287017119,3307328,159634239,131026587,131026519,1402420,3652899,444607048,164678592
     1.003309548,579640726,309377587,309213863,271446822,271687909,0,0,0,0,0,0,2195497,2397668,263335427,426111370,275844265,102578863,131164,191349902,0,278998678,3372353,163043894,131732647,131733391,1418815,3698826,421992874,158463099
     1.103659719,599138066,309501403,309543427,271181918,272001783,0,0,0,0,0,0,2279629,2402405,265081705,415718457,283640721,100162557,154431,179252445,0,265236018,3109230,167335301,134436659,134436171,1395186,3641113,432242157,160447895
     1.203985594,593486035,309181978,309304702,271501529,271760202,0,0,0,0,0,0,2393508,2401376,265149285,394782483,282050821,95223059,266094,184450536,0,271114342,3178048,166772442,135439873,135092296,1391538,3612759,427668306,158885707
     1.304773565,491393543,308307479,309462562,271848954,271985266,0,0,0,0,0,0,2366236,2405315,267235185,398253600,203049395,96255689,123552,205362724,0,244047200,1958357,236855024,160736677,160090236,915316,2303501,410466249,152799193
     1.405435742,440968787,310457720,311071421,272855741,273595862,0,0,0,0,0,0,2107959,2413002,267419310,328235388,201391348,80021159,172967,22483785,0,30782968,1931109,186239278,167021460,153484904,1418227,3653494,357541218,138327422
     1.505771658,545870398,309113619,309281485,271413944,271749574,0,0,0,0,0,0,2393602,2401148,266685272,332698592,259399417,81504500,312211,122867827,0,154020702,1974527,181465677,149065042,148641592,1418343,3663142,399198292,149365585
     1.606095428,550029690,309343015,309271043,271464319,271813794,0,0,0,0,0,0,2401253,2401264,266577966,396112074,259650413,95952533,101310,200000744,0,244541337,2148022,180733752,146606228,146606074,1443244,3691525,405618741,151398105
     1.706400103,513040573,309040252,309261714,271415323,271744140,0,0,0,0,0,0,2400458,2400458,266908392,392962070,242122277,95361430,104964,198612828,0,237912032,1965752,182924197,147106560,147106448,1423984,3589355,384637823,145973463
     1.806725345,534535414,309077991,308878814,270957959,271722515,0,0,0,0,0,0,2235422,2398910,266134574,338993779,252868215,82859231,174688,188338230,0,224716234,2532724,187616695,153240285,151119899,1428737,3637104,392079004,147316902
     1.907051799,478791644,309278515,308867934,271622192,271630233,0,0,0,0,0,0,2089312,2400000,266155463,321488491,218640715,79278894,151231,137313796,0,215931028,1866819,217641805,171667745,167795953,1078281,2615640,359219021,136895665
     2.007328768,530815406,308815777,308990573,270581608,271600376,0,0,0,0,0,0,2288781,2398506,266199884,373265879,251402333,91590879,133828,184917102,0,246243199,2207316,189480151,148359436,148125611,1410144,3549041,394533677,148117236
     2.107619864,373995967,307715362,308787988,270737817,271478557,0,0,0,0,0,0,402778,2396310,261448567,163562901,155166518,41065687,1404879,66739497,0,171785780,1776926,263121839,233989657,207637535,671192,1615185,303465865,121031956
     2.207998734,426032058,308909490,307025789,270041219,271147897,0,0,0,0,0,0,1373501,2362602,260449791,210340730,212857894,52525957,518838,134145274,0,197530232,2446339,193279993,167803037,160440998,1405958,3569777,296646971,119545429
     2.308334381,377256977,308713066,308445605,271171398,271341602,0,0,0,0,0,0,2337151,2400567,266640585,323452198,196284759,79355740,122844,174769429,0,215604954,2150728,204380975,192732040,167651623,1319327,3341113,221583729,194846941
     2.408723636,494604268,309431377,309486457,271453351,271960102,0,0,0,0,0,0,2263366,2399264,266280162,372343095,228885828,90887386,123883,168679690,0,215789216,1802996,193527537,152099306,152099137,1357045,3221661,378137384,142167094
     2.509052970,509989469,309340711,309062373,270715495,271705866,0,0,0,0,0,0,2249004,2401845,266946372,367595832,242112589,90078758,120586,185492140,0,232533192,2062881,192882574,153350305,153350282,1412282,3563892,364673368,142738495
     2.609370564,515888291,309340058,309184511,269348388,271712771,0,0,0,0,0,0,2205960,2401615,265191280,271778316,243831053,66725268,225528,180860691,0,221830227,1814997,191428406,154370774,154371374,1427494,3565201,383888923,144093685
     2.709954668,470505274,310026243,309323829,271076965,271877832,0,0,0,0,0,0,1751219,2399972,265375829,107415798,206023113,27036339,383796,160889556,0,199678538,2121047,230068383,206045654,198197522,1093095,2677118,377515288,141921943
     2.810876986,395690735,310662832,306132103,268911942,271963576,0,0,0,0,0,0,2260114,2402867,264549694,183956886,195185054,46154869,1453438,61730416,0,181487891,1764993,237987519,263063906,260173125,1063779,2606526,225549907,89690865
     2.911229852,221907677,307606433,309623746,267251940,271449072,0,0,0,0,0,0,1992390,2403586,263368239,320631753,116475576,78591120,254064,97875057,0,143879660,1714828,230469254,157014307,157009709,1087283,2651583,223811965,99023757
     3.011549583,321395260,307852415,307433517,270822708,271492943,0,0,0,0,0,0,1756069,2383007,262770834,233117026,101859823,57604878,350119,40076668,0,55862668,2408893,293345738,223727016,198000996,222762,445876,297573890,118001626
     3.111849781,412490625,309106817,305320147,269279207,270456548,0,0,0,0,0,0,1734583,2373815,261545060,92003326,208794202,23220537,381903,171287293,0,217886570,1809294,226460774,265618623,242780336,1151129,2788064,208091017,86214927
     3.212137048,322159431,308509987,308220813,264100766,271262762,0,0,0,0,0,0,939528,2389428,262922455,252215076,172523513,62072704,175494,179888099,0,225793972,1835709,197529431,168450754,166203050,1421528,3514927,213701423,108270421
     3.312498028,234372797,307479814,307144227,271021039,271393370,0,0,0,0,0,0,1725466,2399030,265822765,194281570,103879185,48275197,208475,55409637,0,120644498,1682067,254295134,196797267,174502613,734085,1591078,232259812,90843166
     3.412831489,360702111,309011522,308707105,270939017,271751609,0,0,0,0,0,0,2321787,2393577,265464824,253031507,169438299,62540689,205615,119025647,0,185187594,1710175,189670515,217677612,182763958,1268623,2408722,208913907,188493902
     3.513167244,388667217,308952830,306783260,271162172,270665184,0,0,0,0,0,0,1790058,2398947,266383018,341006534,193541448,83473155,104436,161128989,0,208285816,1741246,208749080,158863740,157221301,1272229,2982870,236072156,117064756
     3.613460674,382449648,308580671,309026186,271010044,271571812,0,0,0,0,0,0,2360885,2398850,266683500,321154777,189683030,78972665,129123,177271370,0,224158560,1790343,193720342,158546055,158546642,1423803,3256043,277931199,142989819
     3.714153878,490154416,310417334,309679751,272007167,272319464,0,0,0,0,0,0,2388232,2403779,267341832,357467719,231658447,88044601,105387,162677110,0,211931354,1879640,201496626,161028919,161037429,1443596,3598358,365240089,137761149
     3.815030562,346801792,310550970,311050059,273107908,273481442,0,0,0,0,0,0,2362429,2414806,268452850,355576873,156633008,87264601,116956,178648301,0,222940084,1933696,186918672,185370557,171382502,1279373,2178729,233860051,159133084
     3.915367490,317560765,298235052,301527427,270157302,271430708,0,0,0,0,0,0,535500,2384136,263471235,197124158,140644568,49369542,1709409,13081291,0,27174692,1384475,228495896,229315075,227838144,952127,2074895,268831747,115769376
     4.015662970,403323310,308936500,308636330,270838341,271512445,0,0,0,0,0,0,0,2397363,266170766,173009045,188771226,43846825,779479,118802773,0,177164455,1938218,228074971,215436634,203066605,1193247,2916650,299276992,115818566
     4.116045611,422360861,309071391,308738333,271627009,271721852,0,0,0,0,0,0,2403673,2403671,267466266,352528550,216789841,86451046,100328,152673084,0,202549504,1954436,215429412,213469657,209274825,1340973,3299278,290837992,113433998
     4.216368216,476711593,309159262,309121166,271336398,271702295,0,0,0,0,0,0,2381087,2401146,267398998,342728940,223780931,84281741,106947,174526259,0,217386334,1915183,208399263,163120132,161524136,1394934,3423440,358102560,135415880
     4.316673770,471958193,309263896,309051153,271298851,271605686,0,0,0,0,0,0,2391550,2401635,267148675,337917583,226210402,83102188,102424,169893174,0,216363620,1785413,204497782,163903422,163903477,1433927,3527438,343393720,133799764
     4.416975527,465596857,309215052,309148382,271349014,271680864,0,0,0,0,0,0,2357383,2399344,266621182,351791604,222273326,86505262,88542,161701436,0,201968909,1818395,201742884,159688037,159688154,1450330,3546006,348205310,132251497
     4.517375107,468933597,309530047,309530435,271643346,271994818,0,0,0,0,0,0,2396035,2402137,267190916,347754994,218801437,85516042,94052,174165348,0,217801928,1758095,214503622,173263463,165952868,1358729,3330699,355482142,134360174
     4.617645607,475366373,309220852,309030267,271161519,271623358,0,0,0,0,0,0,2305108,2400456,266761523,342029321,225278456,84140697,99784,172440809,0,215972044,1898390,204182698,161076072,161076105,1445153,3555877,340655601,130939986
     4.717968069,469595712,309360926,309177663,271076623,271655025,0,0,0,0,0,0,2401269,2401284,267273964,338645870,225515832,83517877,112914,171670755,0,212831944,1928331,204291585,163220925,163221270,1439173,3521910,345325596,132917036
     4.818285721,465746128,309270388,309251885,271393233,271757672,0,0,0,0,0,0,2210937,2400048,267164256,336956957,219870033,82727135,131882,153690149,0,200540282,1851247,211111431,163599662,163572471,1430828,3497020,349174281,132401398
     4.918598519,463942554,309143430,309284784,271414163,271767708,0,0,0,0,0,0,2239947,2401050,267202953,342518143,218471537,84246633,93626,171621971,0,215072452,1935139,210471407,171844912,165849858,1393538,3408614,348363975,131896887
     5.018896462,431509704,308748597,308757478,270902159,271503856,0,0,0,0,0,0,2376717,2400186,266702304,337488592,208537592,83084723,117776,172992837,0,211401811,1796177,215918102,171695944,171053384,1352010,3330118,318398871,129268653
     5.119215794,467018237,309361208,309316808,271375131,271698770,0,0,0,0,0,0,2401718,2401731,267464334,340864322,220825233,83596790,91971,134378827,0,190834322,1712808,207933290,163777978,163779626,1414125,3476466,348808917,132324061
