Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100207373,1411900861,242183958,240841105,210861717,212805282,0,0,0,0,0,0,1813137,1852584,181882018,103363683,631296500,9584753,31729,320946522,0,1333772,319325,133815248,46635523,46636210,2635189,1038922,825455525,223031084
     0.202158528,1870797896,314078012,313968126,275763111,276095254,0,0,0,0,0,0,2415332,2428210,274217596,1116134911,1004927257,212372752,9126,1185249100,0,168574,78105,28524274,28401810,28401742,1446598,4944,971533033,288785596
     0.302482823,676216245,308060628,309497501,271724708,271691693,0,0,0,0,0,0,2404416,2404420,271570817,1098517366,346254259,209052996,10144,1028450203,0,2005132,101272,160801048,189025295,189025907,3968749,1358067,810455696,242143808
     0.402838630,2005384100,309732365,309707325,271017182,271950989,0,0,0,0,0,0,2380123,2397135,270070109,671857621,1000323184,155312567,99018,992836517,0,1681224,317602,27647510,36820336,28706529,1397547,4089,1065963979,286779212
     0.503162608,863855653,308165038,308444032,271347210,271816356,0,0,0,0,0,0,2326536,2404026,271002540,1095511869,553271127,208761332,20872,1165621063,0,163342,77532,294464920,3308938,3308937,12222535,649127,629512117,205772451
     0.603497538,1996307434,309573609,309420371,271412082,271872921,0,0,0,0,0,0,2346108,2395067,270155977,868014761,998918350,166031937,16450,812535808,0,14374827,372558,27463318,27450220,27450197,1384811,4816,1053007703,285761389
     0.703918265,1503864323,308772283,308628046,271802331,271938406,0,0,0,0,0,0,2406532,2406534,271786046,710229409,851376534,84049911,28404,1041635605,0,1557242,318300,4372757,62384476,32404600,462588,1689698,828730031,237962554
     0.804262519,1774477343,309565174,309617370,271713791,271939386,0,0,0,0,0,0,2388685,2394462,269945748,1102349630,927122074,209503518,7050,1166568489,0,148665,77443,27171175,39556729,36533697,1373953,137281,1034254831,280692380
     0.904582482,1743391161,308616757,307221821,270906726,270885870,0,0,0,0,0,0,2397538,2397543,270793111,953737459,783854774,128358220,13014,756801559,0,1065443,2503079,201420193,71855566,69089689,3630107,1640470,1014907800,275219545
     1.004919129,1965690390,309740585,309089803,271226679,271854842,0,0,0,0,0,0,2023240,2393898,269463084,1015994810,995072934,199319936,49594,1155151613,0,216174,99095,27725739,28344024,28155542,1412852,4264,1051199673,280080344
     1.105272148,821844316,308154010,308576647,271819556,271925882,0,0,0,0,0,0,2179778,2392582,270013206,1090024705,332021601,207060232,11753,932561892,0,2255609,125186,156544249,124362106,124361849,3269095,1217587,865298172,252125606
     1.205629804,1998628003,309837908,309765387,271285169,271996809,0,0,0,0,0,0,2398096,2403951,270921826,834450731,997626630,186053908,27241,1156532761,0,199786,109152,27310243,27631200,27631208,1393245,4792,1064284053,286329645
     1.305980439,646036014,307738228,309508278,271396747,271907375,0,0,0,0,0,0,2334911,2405080,271412454,971305496,321148653,194473854,23359,1041808093,0,5886645,146451,365766072,62809838,57993052,12144074,1410932,704440141,222757395
     1.406328258,1911110418,308611490,309309671,271633330,271867694,0,0,0,0,0,0,2389709,2400076,270960886,1043530122,995919682,203569247,27194,1043108839,0,1127542,182774,30508823,70106917,34599467,1379587,2987,997771071,285467426
     1.506670879,1453545401,309445774,307247387,269725747,271618557,0,0,0,0,0,0,2394425,2404877,271595884,649618634,872798684,95294449,14886,990534336,0,2574407,424748,21973656,16247850,16247852,836812,128643,712294263,222273384
     1.607020698,1720281455,309704690,309026695,271748145,271866477,0,0,0,0,0,0,2370192,2394313,269945925,1100150776,871873523,209148461,17195,1167069458,0,155428,77965,15018793,27758859,27758858,917862,1274964,964316966,264296796
     1.707344758,1965622932,309404159,308911658,271690810,271858989,0,0,0,0,0,0,2398497,2398674,271064688,956148355,963028312,125500757,12477,439478000,0,870577,617450,74439265,78065958,78065908,2277269,556351,1059977503,285966638
     1.807724928,1766895292,309881074,309410148,271472472,271838406,0,0,0,0,0,0,2178665,2401481,270307529,1102083401,955769852,209668533,9035,1168457524,0,155318,77383,27931540,27469942,27469965,1430685,4843,1112511139,285997666
     1.908056076,1409661997,309234328,309791464,271343360,272057427,0,0,0,0,0,0,2315812,2398837,270511427,972411927,530934100,155959881,65938,999585978,0,3440353,2981235,180759004,69353505,68496309,2732132,1226844,1003918314,276608420
     2.008398315,1995905714,309817746,309670202,271523149,271925159,0,0,0,0,0,0,2366082,2405398,271100713,1021182268,996040858,201127723,16431,1166287539,0,182788,77094,27752540,27447558,27447536,1419256,4716,1064941572,284339253
     2.108727641,653167265,309212299,308625823,269293667,271887227,0,0,0,0,0,0,2325595,2397147,270557015,871543403,305124744,187641725,11716,1051314750,0,1281803,119959,158764605,155587031,155586867,3276421,1099774,804354988,241973995
