Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100243593,858862676,307031358,242641728,268205978,269474176,0,1972,0,0,0,0,2287819,2373148,240574907,561596142,504629678,113857961,6211249,313260282,0,327147557,18694130,68140511,47825288,47825939,2414818,1390197,586582061,204567351
     0.200613822,832087423,308457276,309279538,271665214,271890183,0,0,0,0,0,0,2388879,2401435,257059931,677025722,537287989,96239814,8858,301767029,0,171267678,185353118,44809914,13647002,13646966,1786901,1308006,644527482,214840336
     0.300937512,873532224,309221573,307878097,271386739,271814393,0,0,0,0,0,0,2390899,2398897,234688580,685277967,543347509,115394674,390703,63160559,0,639659,119444,124135962,184159253,184159132,1670355,2581579,578211044,238551876
     0.401286805,370312468,309674028,308715050,269570171,271759962,0,0,0,0,0,0,2395949,2401326,265939825,169961813,158783598,31242579,39661,151349971,0,7367140,347949,32993098,26042931,19609282,840002,2538487,224183416,82716369
     0.501599827,321040221,252211056,252092917,271222267,271759329,0,0,0,0,0,0,2390613,2401440,226914502,514311497,128150201,217183691,19902,305078824,0,9219330,9275907,335349737,188344988,188344729,3344290,3403841,209778937,87095404
     0.602011850,1316720080,309638155,309807889,271935079,272062553,0,0,0,0,0,0,2406491,2406510,271798064,577166449,449625610,229960431,90055,64740573,0,134237284,162447535,65726704,15973838,15973898,213389,666924,650473089,286015192
     0.702385175,802229476,309881977,309324518,271876465,271921377,0,0,0,0,0,0,2405574,2405554,271601119,573909538,394524651,154815399,61095,568674568,0,209231,84862,51941610,10238922,10238892,428712,764687,459415268,171263149
     0.802684815,1156299555,309601807,309587034,271635931,271819895,0,0,0,0,0,0,2403737,2403741,271476388,584751991,519588395,156706584,6970,555721137,0,1399393,86542,58672748,10913826,10913816,464474,754410,698006371,252630250
     0.902975854,2117825793,309540983,309401611,271524901,271794460,0,0,0,0,0,0,2370944,2396893,265128362,1053508818,1060096396,253610878,139651,906891716,0,38782178,5174222,38240826,30209289,30209338,1972154,3538380,1203118115,284468466
     1.003302945,1008604136,305341289,307196875,269672024,269958629,0,0,0,0,0,0,2275178,2379994,255991113,583978192,441020982,109821399,36674,426526638,0,68102970,100732,194355358,247465320,247340695,3251719,4558375,664223931,207092484
     1.103620759,2068839765,309352494,308414377,270126785,271679228,0,0,0,0,0,0,2400556,2401717,265571854,1031217593,895636209,214959263,26513,989063189,0,7496789,8405988,113123367,86734989,86734904,9278597,3082243,1218546194,289293747
     1.203926724,2157373868,309659977,309596176,271672570,271861455,0,0,0,0,0,0,2383306,2397101,270778563,1019416529,989001720,207653230,13543,997923023,0,5991092,2335604,101080221,90223860,90223943,11018213,4342310,1220255204,286491610
     1.304236900,2089537701,309673205,308842742,271694197,271791725,0,0,0,0,0,0,2397596,2397794,270540675,1038801890,964504521,217816156,9867,1005236295,0,5427547,6730426,106135716,90238254,90238149,10530553,4151410,1179240699,276035201
     1.404543766,2168084011,309645614,309566763,271710934,271840468,0,0,0,0,0,0,2404320,2404320,271547828,1034678093,989651669,211593836,10394,982362082,0,7538058,2312617,91212682,81609822,81609825,10135802,3535951,1235354910,290473806
     1.504872566,746935979,309408832,309515436,271698798,271861293,0,0,0,0,0,0,2404428,2404431,271527937,1003862752,372546567,201830355,11977,982812391,0,5970230,2528671,427840660,89247785,89247901,6792108,6147964,585781732,170110372
     1.605199377,1117396302,308229524,309191779,271545354,271786092,0,135,0,0,0,0,2394615,2402689,270740385,677472230,504382993,95905925,8327,174718675,0,85482274,101947399,25431381,118370863,118370830,514710,593294,690051888,225642332
     1.705547429,1148103277,309434161,309294921,271462432,271816551,0,200,0,0,0,0,2401824,2402535,271130551,526706237,517001608,145291836,147796,385719768,0,26507312,72789132,18150988,16667798,13962929,471712,489901,698626564,229750312
     1.805855585,1135072336,309540974,309482831,271267065,271810724,0,0,0,0,0,0,2397935,2403892,271394218,535300318,510288971,146027029,144255,421005705,0,39394332,75241202,27310946,20806636,20806619,508881,541655,701747628,229653846
     1.906221465,1154552556,309681752,309576839,271681988,271908162,0,0,0,0,0,0,2404248,2404258,270552303,395105423,519605699,102158938,58620,359650223,0,14626117,39078430,18734629,12149045,12149078,479125,473459,714236750,233304537
     2.006635544,497609803,309165718,309153421,270632448,271888038,0,0,0,0,0,0,2360292,2401267,270293400,254704290,238436096,58001533,26596,288177539,0,446415,861225,317280425,250167252,249638793,2966035,8840712,275438333,105305595
     2.106998645,814604649,304019331,300465008,270719362,271827840,0,0,0,0,0,0,2384337,2398862,264936738,418301454,384901071,90209383,19547,472719084,0,20145080,1596978,246154215,194019885,194019962,1664995,3700639,465313130,167554635
     2.207306987,1197640548,309577569,309549259,271540414,271809276,0,946,0,0,0,0,2381899,2403586,271259274,640674947,566666994,158216124,7465948,217715083,0,426492039,2956894,22827697,19260848,19260826,1002486,649590,680705810,243924421
     2.307623964,1215990868,309649191,309532424,271606035,271847838,0,682,0,0,0,0,2403882,2403879,270471159,674695714,583636042,162027807,7579073,222064297,0,464911346,3201156,31975780,19893675,19893680,1085276,628892,677587589,242795621
     2.407922961,1159154801,309603941,309519775,269808807,271834518,0,0,0,0,0,0,2401054,2401082,270387583,386362295,520154752,100076004,105186,419087279,0,24712252,77683072,21568641,14740236,14740243,446063,468531,715237829,233241208
     2.508301569,1168258417,309842965,309670617,271765727,271962183,0,0,0,0,0,0,2403064,2403051,271120115,525086669,525504204,144795187,170014,425764987,0,24089572,78574698,26322512,15589355,15589441,611529,664097,719102638,234069551
     2.608690946,426028185,280919602,277942157,270676557,271858842,0,0,0,0,0,0,2343065,2391912,269407026,237046165,169187797,51262298,22587,229935626,0,550757,776265,471553151,213906854,213905954,3175702,6919647,259641609,94536808
     2.708996053,948599237,295185986,284337116,269484476,271682873,0,4,0,0,0,0,2379609,2383420,223322351,308027111,501234419,40161976,43381,60660653,0,73355999,150504952,135646619,156597323,156577231,2108949,3462643,437412178,136642626
     2.809319429,770503606,308890552,308672518,271313645,271516387,0,0,0,0,0,0,2393757,2393983,205707896,559394990,368010395,113654869,21478,465947790,0,65770844,640906,263091179,136362029,135097069,3575290,3757206,469253747,162585877
     2.910036231,1010862786,310352000,310317916,272292948,272712908,0,0,0,0,0,0,2379894,2409567,271650498,558732185,498218793,113696480,22267,474167153,0,66507927,630938,189301574,134162845,134163272,3475026,3961207,589030111,202028086
     3.010355327,1008930585,309233886,307676263,271289978,271756922,0,0,0,0,0,0,2400732,2400733,270265897,566429227,493008223,115271646,20277,482753451,0,75821010,628833,207909247,126477873,126477444,3627445,4030350,594211984,203885956
     3.110672476,1024358731,308094108,308883286,269283575,271604180,0,0,0,0,0,0,2388557,2389009,269085884,542134308,498355331,108977146,19577,483389941,0,74827975,597809,176364465,133341287,133341335,3402727,3890175,597557204,203049867
     3.210927947,1051209208,307899557,308657374,271105341,271455814,0,0,0,0,0,0,2400271,2400242,270541099,588847907,510073025,120871846,18823,512205141,0,68883036,587116,173070934,132523261,132523123,3154962,3538640,610320496,206990972
     3.311237544,1064065536,307998277,308303870,271286217,271650968,0,0,0,0,0,0,2388698,2399778,270629316,547461610,532433902,112537827,20630,490286781,0,64332703,677952,166253864,135486143,135486204,3485748,3864007,601193805,203919067
     3.411548007,1046628607,308070382,308363284,271218383,271674198,0,0,0,0,0,0,2375059,2394530,270128254,561343240,509520162,115659880,62222,463097385,0,78816009,1095044,185722976,127817672,127803783,3406496,3798428,604736536,206315033
     3.511858693,1013083149,309092575,309101453,271233109,271658366,0,0,0,0,0,0,2400449,2400440,270632218,577507059,497584497,118240549,17352,499069699,0,68282442,1307527,196178245,130203561,130220093,3608910,4164962,590980310,201055655
     3.612160979,1013436379,308395803,308586648,271267372,271607658,0,0,0,0,0,0,2393689,2400696,270721431,567768572,505043414,114863705,19573,458905740,0,74789008,653057,179140492,147728918,144449308,3627928,4319344,595041734,203035491
     3.712433336,1022842847,309108831,309046879,271163840,271590829,0,0,0,0,0,0,2399564,2399563,270566476,557379631,502774551,113837422,21369,458995438,0,76649257,619201,197357104,133794142,133794034,3969189,4817681,591095701,203806724
     3.812702438,1008338735,309151578,308994144,271139243,271574707,0,0,0,0,0,0,2385685,2388096,269404677,525618980,492063296,107374806,22045,381408403,0,68003249,739005,190801520,136738655,136739274,3867122,4674078,588834296,203373577
     3.913023002,1021763991,306977146,309127481,271303286,271694168,0,0,0,0,0,0,2365728,2400982,270720268,547669664,503016423,112341098,22322,442844429,0,76152428,628627,196035029,135508397,135507956,3886308,4586198,593439168,203636020
     4.013347396,1019962683,309266305,309190072,271276369,271724347,0,0,0,0,0,0,2401407,2401411,270600759,551736086,497809561,112508857,26177,465595618,0,80018642,1449769,191229562,134349031,134348982,3620286,4261638,596485702,204355817
     4.113652884,517981836,308808274,307181408,271213431,271529504,0,0,0,0,0,0,2348213,2395751,262450638,483884061,289961786,76490081,25442,421149069,0,39625758,14913230,144055558,77911005,77939714,704153,4718389,358955132,116219634
     4.213956248,530081007,308541132,308768850,270708687,271714726,0,0,0,0,0,0,2179613,2397447,149365905,340732258,218115786,57007433,54078,54953240,0,51155547,61597467,560318290,245742328,245769007,19042242,3210886,346216659,147241118
     4.314299077,805421028,308970529,308696570,268887495,271728212,0,187,0,0,0,0,2392906,2393580,269441177,446672604,584006387,64902166,12862,270004172,0,141028318,145570528,30411194,29243481,29243412,1355273,1821326,469246042,173812272
     4.414622232,427645006,267344924,269808843,271361023,271789200,0,566,0,0,0,0,2396095,2396351,269918042,306449263,195129911,69896827,19784,201429288,0,527216,1645331,267743662,176650211,176650350,3175062,7155946,256215949,97932487
     4.514935226,410807721,269112193,278915434,271342688,271641301,0,0,0,0,0,0,2403590,2403580,270772683,58197344,205731693,21306589,19157,223172315,0,837189,3991143,268628115,219798817,219798513,3598083,8150455,248374081,97959511
     4.615272151,190383787,296511914,274535895,271196278,271644118,0,0,0,0,0,0,2399357,2399389,270399840,356940845,41203157,73476378,151998,436872389,0,349635,181055,265945476,230271049,230271742,2501538,4022471,225356236,84597700
     4.715571606,561882010,309095910,309057520,269911102,271623741,0,0,0,0,0,0,2376484,2386740,269307832,447748513,313379724,82385777,2869863,248244435,0,15337382,108389960,350346293,126120238,126117184,5545200,19158533,405517092,150119144
     4.815878196,1179912304,309591044,309532763,271548754,271860280,0,142,0,0,0,0,2401862,2401866,271169140,692709513,540335196,159104428,7259342,250688639,0,434673068,3727800,19890902,21268141,21268144,748130,466855,698806604,246607318
     4.916154791,1204642884,308442357,308401936,270847216,271601457,0,8,0,0,0,0,2402968,2402966,271239036,553727108,558465889,153234822,156876,447714178,0,24744144,83198259,28401812,18709192,18709191,675622,470999,627259988,219342990
     5.016452946,1185399352,309616430,309013366,271455414,271815608,0,52,0,0,0,0,2377571,2398360,270734669,525454865,528242252,144688755,163535,423074950,0,22726645,78143062,20948183,13959322,13959311,421254,415762,738188530,236007486
     5.116820033,1169493151,309693310,308987148,271766224,271862778,0,0,0,0,0,0,2378313,2404804,271522153,534003616,528330335,147450142,108585,430836178,0,22028609,80652321,19980700,15398944,15399049,523988,521601,722392639,231857692
     5.217136757,960724502,309357812,309253866,270464684,271771527,0,230490,0,0,0,0,2401539,2401529,270407511,280513887,462998534,61281072,38915,371891083,0,220009206,2112566,205224658,166024393,161793081,2044962,2775922,481025507,157254262
     5.317469180,815441569,309219586,309254316,271379213,271728174,0,0,0,0,0,0,2401483,2401502,264652025,552495579,337186141,115083006,637002,258152779,0,159178066,8215951,453843488,143960576,143960514,3347105,3846691,566720452,182056561
