Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100278569,315948571,307107929,239593114,267221248,269616739,0,73276,0,0,0,0,2331326,2368177,110725951,186908930,233267553,27222893,32670,76797911,0,80596466,100995947,18246988,17759489,16880954,393624,440104,310352034,132448835
     0.200749123,315109480,309012597,309397628,271270817,272090278,0,130141,0,0,0,0,1209342,2395486,109571884,267119226,233540449,38698695,36585,91307368,0,95348886,118549843,22565144,17517940,15937299,455394,565985,304333029,130542393
     0.301128189,861950978,308467097,309766878,271246840,272038622,0,128273667,0,0,0,0,2397158,2397384,124811313,263144820,422267999,38424318,32268,89636816,0,96334854,116418700,8874115,14515742,14515763,185001,375727,535477422,238400166
     0.401478792,875935150,308083112,307987857,270294981,271630954,0,115411466,0,0,0,0,2380689,2396774,157473936,539904937,504570490,64735559,36033,283629121,0,187875245,85896562,7777105,5918868,5918841,233450,438749,574493231,209942850
     0.501940790,881960536,309402965,308335530,271549565,271966641,0,115774302,0,0,0,0,2396470,2396716,237651656,520268403,510107224,50192517,27208,398167146,0,95548101,45326071,7591488,7054293,6454055,248822,429256,560328170,204592149
     0.602311622,950807937,308146683,308744167,270876415,271405768,0,226541772,0,0,0,0,2397728,2397699,270147878,511552204,476388821,42896264,17907,510467199,0,1463805,4006011,85542498,73912287,73911306,3136628,621554,535415372,234512763
     0.702654997,891655983,308813680,308653860,271248472,271618527,0,111967631,0,0,0,0,2389481,2398865,197172475,658520215,460067565,55225857,24897,624823438,0,5996612,30921412,42941352,29260348,28114391,562568,549004,529595385,228070163
     0.803011470,1112613885,309424955,309685195,271317553,271939278,0,194628041,0,0,0,0,2375401,2402365,149362594,388668042,573684985,54623701,39782,519008540,0,10344782,1836421,136482541,62924472,62720446,2566571,1824694,576021251,256883051
     0.903339016,1134797586,309472833,309410991,271568896,271862040,0,189281996,0,0,0,0,2402958,2402955,271165911,567381451,548774101,58233181,9544,515453576,0,47667147,8291878,286791960,67829055,67005013,1530006,13931072,558621877,211092403
     1.003694323,1113954679,309416244,309287087,271258730,271738963,0,192568006,0,0,0,0,2396651,2400997,270879047,556626476,573543842,59502514,9754,516783612,0,47740332,8270201,130215101,63692287,63692189,2165594,1784422,573525742,255294553
     1.103978948,1101273335,309054433,309038022,270987593,271623060,0,194664602,0,0,0,0,2401388,2401373,253526123,535339676,527502241,58758062,24323,507168080,0,46869284,8186162,425554031,104616959,89302500,941563,24191163,571023455,253236460
     1.204287662,1652834694,309588205,309505383,271692882,271818593,0,180709222,0,0,0,0,2403703,2403702,271412069,655285247,790036514,80146325,15034,582519005,0,65494483,1878968,1682272,3307404,3307405,27182,51556,892761075,286555692
     1.304657412,1587570652,309759694,309577055,271386215,271920300,0,181380087,0,0,0,0,2392257,2399898,270081259,513724345,718728043,42995628,14401,508708927,0,1477018,3931892,73001552,56495112,56494942,2782577,498147,892368136,286933841
     1.405033411,945367012,309357565,309113054,271406448,271818543,0,225138953,0,0,0,0,2356086,2402293,270758546,509836230,486531388,42696155,15449,469774806,0,18365739,12704718,39297539,8926572,8598379,1459765,469305,542038684,235457763
     1.505380304,1098421452,309245577,309207568,271285528,271701444,0,219392126,0,0,0,0,2021417,2394200,222130963,564789289,560066671,58099179,23150,510229822,0,47811878,8175641,152057168,59437642,57818120,2768844,1765504,571362934,255066109
     1.605681377,962083430,307606257,308402545,271200016,271455203,0,141192928,0,0,0,0,2319837,2399393,270627687,566216630,469000812,58184872,19467,510804014,0,47466266,8169703,240739052,68285121,67685742,808556,10271990,498997326,221947934
     1.706009938,1099712185,309067274,309028443,270956071,271602170,0,161006814,0,0,0,0,2309595,2397583,270385341,481739634,566908929,67640031,28727,427847404,0,37091855,6517414,137310762,66057072,64138523,2480141,1859605,565398152,254059075
     1.806366098,1179290066,309444853,309357835,271175224,271870642,0,196987208,0,0,0,0,2350171,2404265,271231503,525549560,581559849,57468601,38785,500424524,0,47100423,8010812,135318574,70644507,70074941,2459890,2005498,575304391,196021789
     1.906868653,1116874756,309899111,309346588,271736947,271762495,0,192406449,0,0,0,0,843734,2398563,269292528,525017071,574866108,65670988,32285,500978423,0,47457322,8128884,140068110,66817622,64048801,2600457,1920653,573355080,254913094
     2.007413745,919717630,307889183,308708992,270836700,271950363,0,161790574,0,0,0,0,2159942,2396379,269975544,510897819,464805470,52596895,29864,411282093,0,25684464,4901122,257608212,162911355,121727670,2546649,10050401,475377210,207160535
     2.107751508,1534020057,306891087,307279797,270519486,270954674,0,100510836,0,0,0,0,2148834,2390671,269052528,876443204,720600393,200037590,181932,841601661,0,62321298,1088025,7401414,5820990,5820977,155195,219822,764342974,262092188
     2.208057099,2132022489,307367202,306858024,268568757,270845879,0,24299517,0,0,0,0,2125530,2388152,269196812,826647042,962255555,192717330,362754,900094863,0,65443624,286146,2988596,48010519,2835311,14855,23623,1014166770,287213638
     2.308333424,2040672574,307847862,307523999,270277488,270739440,0,7853327,0,0,0,0,2148723,2391890,269124857,943008592,949113057,216852456,152292,937355076,0,60106412,184763,256205,637249,391545,11879,14880,1003242705,290275793
