Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100214128,373804465,307882642,306930399,269701692,270463531,0,0,0,0,0,0,2370384,2388489,246498651,793886677,153273308,151569007,220012,594077278,0,181422734,14288715,1262190120,188231438,187549234,12805243,20921275,190542804,93014349
     0.200636808,313148237,309371489,309366027,271275408,272008669,0,0,0,0,0,0,2373457,2401293,270308136,248739294,131077331,70427245,18983,306802577,0,2833501,741194,998677224,248420971,248140706,6692252,12351603,245894254,109069678
     0.301076523,259845591,309459345,309173118,271490048,271814466,0,0,0,0,0,0,2344266,2400066,270350292,240760701,113230147,72697307,31711,349299180,0,3930155,797461,923608292,255551897,255029011,5952950,8821527,224766452,98875860
     0.401419695,201654869,309148198,309259478,271047139,271876003,0,0,0,0,0,0,2342623,2401661,270542801,224844723,88760313,71913890,30510,317830798,0,3885110,875362,843776407,264328532,264203030,5703141,7381766,188663543,84353143
     0.501747447,207529001,309071145,308955191,270639382,271636047,0,0,0,0,0,0,1875481,2398702,267587909,207391598,85846936,68382881,56004,225839960,0,2894649,828918,779532921,250128442,249340340,5590445,6529680,198734708,87206754
     0.602087201,166828740,305165711,305007982,268366743,268918925,0,0,0,0,0,0,1891202,2373279,264694539,193774169,71530350,62540342,67682,268235442,0,2927411,1033050,788331929,257917358,256220843,4298133,5118575,126304399,59416215
     0.702437051,148413333,309193161,308398130,270652730,271549833,0,0,0,0,0,0,2282245,2395846,267070791,216139340,66439175,70917076,23362,198785412,0,3098455,1026869,657285192,252890473,252462218,4180237,4868251,125061591,80624339
     0.802793249,159080822,308811430,309032238,270810917,271713067,0,0,0,0,0,0,1956815,2397653,266778626,216189631,63355432,68024979,23483,265997143,0,5816578,1095644,765591564,266412309,263466872,4372737,5093903,166940031,78109167
     0.903274126,169610930,309142318,308843377,271100520,271799198,0,0,0,0,0,0,2275211,2397672,267579532,177857901,71960650,58724347,45160,259799472,0,8584755,1149055,770393613,271294492,267631518,4546851,5161907,173053953,80058331
     1.003765221,163456102,309603531,309788777,271429406,272373186,0,0,0,0,0,0,2309319,2402459,268982033,224241422,76577127,70919123,29124,272235506,0,3196472,976689,747537151,255240222,251701054,4727037,5046627,144729368,65983163
     1.104101478,149668329,309137700,308209173,270869459,271412143,0,0,0,0,0,0,2180964,2397449,267909933,214924262,75799468,68963552,43018,231954523,0,2529360,789768,758872212,255700750,253529336,4468174,4866647,130999254,65171757
     1.204456471,135490777,308986909,308630206,271352336,271636148,0,0,0,0,0,0,2314151,2399601,268522631,187327502,57294732,60924034,51709,288161376,0,3071032,919003,744324218,261238177,260975096,3916897,3798149,150336091,67258414
