Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100256082,341695819,307002897,237439971,269442503,269476997,0,0,0,0,0,0,2359778,2370439,56748492,330508923,284872426,42363499,39813,63034851,0,146742698,163139608,17617516,14017722,14017910,142318,389649,353040661,144913847
     0.200618794,344933592,245710978,239493336,270898432,271825287,0,0,0,0,0,0,2399478,2399475,91146675,230551926,213656439,19005822,47027,100462635,0,64868889,54833142,236747063,209551942,209552063,1534029,4802610,235649805,89071285
     0.300974070,251641405,229646120,220244789,271556776,271854008,0,0,0,0,0,0,2398690,2401345,267261995,205176834,202538035,17780288,20129,182666985,0,3532518,16546126,184961710,184884470,184884514,1314441,3919618,218939823,85978854
     0.401381746,244545910,199748912,199586452,271152051,271895816,0,0,0,0,0,0,2400045,2400398,265376638,166884780,186355658,15245326,37256,59558013,0,74181923,44081348,245757590,160055287,160055897,1653044,5570666,196394953,79396845
     0.501845536,921061200,299294816,309360253,271531166,271872093,0,137055299,0,0,0,0,2201141,2398351,269976706,221622262,471008634,24699647,47381,351716221,0,4860845,204377,2302379,2007065,2007052,3338,2585,437224299,155352956
     0.602209871,702993000,248635144,249535846,271503418,272026589,0,145973313,0,0,0,0,2324644,2399576,270560338,324054677,331763785,29455132,22031,287290959,0,875232,200283,477760088,186104203,186046535,3171773,19380330,336132669,126059146
     0.702565105,615471038,239718436,246270558,271517189,271811050,0,124534948,0,0,0,0,2353570,2401351,270851480,318920766,300790326,34542579,11620,309467105,0,1775392,159645,677088714,176731145,176731126,3586824,21301093,287715191,104822567
     0.802911600,348222229,268872716,246932370,271467705,271619073,0,105409150,0,0,0,0,2271222,2395219,269905026,548495809,165480216,49846602,12796,500732202,0,18607210,140936,1080132869,286740757,286185800,2111594,36698203,187057428,84395141
     0.903234173,989204021,308985700,306174010,271389710,271452439,0,81189771,0,0,0,0,2103393,2386041,269299279,723515573,495102201,109523952,14111,625399261,0,8547796,867385,90758083,33587416,31408129,355004,1117741,716131212,239712110
     1.003556963,1409472633,308217616,307814252,267629409,271828791,0,443338625,0,0,0,0,2194657,2392655,270049806,650296120,599346177,98556221,32121,818831015,0,280293,99432,57241443,69120646,49502727,274411,1492984,948482913,260714577
     1.103830772,2136458919,309453986,309421960,271297007,271767339,0,427683516,0,0,0,0,2248475,2395030,270468188,1044498210,1027552561,113326794,9999,1041238071,0,200506,91367,145601190,52533286,52533275,555630,2787422,1034072735,266525027
     1.204113740,2146628471,309502059,309422804,271685282,271762725,0,387210716,0,0,0,0,2340722,2403020,271300779,771909000,1032298112,101227927,9433,762287932,0,17307791,19188546,146802615,53020484,53020564,555488,2778171,1038834811,266969194
     1.304422392,349894253,309180375,308995575,271344215,271620411,0,51022691,0,0,0,0,2401119,2401135,237662768,391469342,252577981,38509816,11584,398157766,0,2365465,4222901,445503612,152784468,152131373,1404206,11735527,355658253,143345320
     1.404859752,325604040,259443528,286018747,270058849,271850735,0,48055030,0,0,0,0,2367881,2392013,225716146,363536844,155062690,35736407,9153,363603329,0,557237,205068,981305538,245844828,245787140,3502835,28812278,168911869,71348036
     1.505321167,372269588,248153384,243852668,270927432,272108039,0,21005027,0,0,0,0,2380297,2404566,210091224,326295140,187081585,32613735,17475,324660920,0,484044,295980,800689228,168601511,168601269,3318551,23494636,190269540,78587007
     1.605739904,668878406,249607947,248541322,271270767,272050549,0,14145630,0,0,0,0,1768249,2396886,209361031,288907395,319334219,30635094,69751,216214850,0,48892777,37534823,430784569,170533426,170467952,2958218,14727546,280190584,100970708
     1.706103169,966906100,309494388,309462307,271288724,271836360,0,146195268,0,0,0,0,2372176,2396138,120104398,288556189,470151471,37749427,32633,436081894,0,18561407,18669653,241451461,205490414,205490131,2607550,26215610,431255870,137764254
     1.806401972,671515359,259396258,259142359,269462608,271677077,0,144665866,0,0,0,0,2399496,2399773,262156768,160960379,324338147,25974233,14694,147734269,0,239353,279130,307691155,187186399,187186509,2009317,22971839,314081174,106743823
     1.906745686,635343436,259349049,251082263,270920258,271744486,0,145118024,0,0,0,0,2341412,2400972,270549053,327902558,269890621,28930648,8525,331931795,0,389719,143831,1047952131,257741117,257741330,2729750,25967789,321414453,110049088
     2.007125746,404252146,239499728,232632578,271380495,271848749,0,84320449,0,0,0,0,1995867,2400382,270387664,309085856,231763945,31890427,8533,310291346,0,418449,129067,526781618,163253992,163253961,3202763,18574224,199913054,78658843
     2.107490412,603788806,239446325,239381729,271640199,271800484,0,131581322,0,0,0,0,2402315,2402315,270813367,274097427,299056066,25457570,28260,303075938,0,317051,113313,457937674,173890643,173890647,2625265,16646168,287379866,98512913
     2.207854855,657224576,269655382,247335115,269568632,271705513,0,140391158,0,0,0,0,1824394,2397708,269941959,122584285,315754449,21274484,18311,198299999,0,4493094,415042,612803600,217149848,212581765,2427424,20473965,286932197,96818930
