Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100220282,1029434133,306906000,306528128,269151507,269825935,24900333,932242,0,0,0,0,0,2382354,261371784,631969625,542114837,117766371,57908,187279555,0,429825584,2979254,45626428,282532961,11174710,162942,159305,526094741,226877860
     0.200781757,698383655,309394197,309243077,271154667,272166403,101339225,158,0,0,0,0,0,2401395,267678255,410263253,338647340,77794219,52562,322374910,0,137734394,1306879,106525698,211560755,83284946,4774351,7562561,374993984,238851935
     0.301217889,808970667,309160535,309315360,271532186,272110031,110402567,184,0,0,0,0,0,2401189,267648253,483255398,398267017,94224747,55396,420266898,0,168466537,803037,112605481,281848695,73012949,5086777,8273802,453262272,225326260
     0.401575762,920374706,308855438,308728796,270742036,271661617,184679241,4429822,0,0,0,0,0,2399162,268918410,456138035,460631893,68053613,44613,343000937,0,124582646,941356,66669210,201996258,53312776,2567711,11171845,442824059,260486236
     0.501937764,1143109575,308865497,308520290,271171709,271700122,165207365,4432858,0,0,0,0,0,2397325,270149905,513066545,571794741,41546572,10277,260280222,0,258777293,444890,89290341,284562175,68209159,3160986,14669684,543936638,258588565
     0.602311370,955044700,308868292,308876420,270858508,271749888,205626543,4043006,0,0,0,0,0,2397454,269930072,547017755,494628655,44244652,11545,277230095,0,273693547,484660,75386519,238890594,40896451,2849984,12618112,443894630,262177184
     0.702788703,951488846,309163006,308637864,271359262,271714510,184562732,4390355,0,0,0,0,0,2397507,270090467,471500960,474705791,38167061,10120,246629370,0,226164318,484904,67056919,212883997,36508397,2428510,8879976,442482163,244589979
     0.803239115,1000888989,305745801,305728732,267397004,269227142,126678631,95,0,0,0,0,0,2375349,267192987,424522826,516117805,34348312,19093,219398408,0,220844048,450367,77543589,280624054,62907170,3026407,13357708,480054795,239121315
     0.903607587,694542594,308712393,308724273,270784062,271779062,99105131,142,0,0,0,0,0,2397204,270073613,495442624,342946174,93526591,25697,370920968,0,145356996,1238082,119948182,203656228,92405405,4914071,7659925,374970582,231678092
     1.003979912,825371591,308517730,308406632,270842540,271327094,116015676,200,0,0,0,0,0,2393376,269814641,415532271,405356469,88583930,21336,417625898,0,158839712,292715,87551460,280652470,73646337,4848829,8262347,467266210,232376291
     1.104335780,945387296,308362277,308382891,270630437,271506286,213950875,396555,0,0,0,0,0,2398584,270150307,447287273,443183114,36230782,11853,236695850,0,227057931,333928,89433635,213150100,50693610,2237824,9511027,471078347,254071125
     1.204745465,864007711,308930298,308793590,271026608,271711849,206146511,0,0,0,0,0,0,2399680,270469352,519954589,454679075,42146455,10878,256330075,0,267616990,1147684,58519698,170925570,47157796,2660278,11223259,409778561,248569272
     1.305163742,1016188403,309074727,309003343,271113926,271853160,218335202,17,0,0,0,0,0,2399736,269848051,448408932,528050581,36375740,10793,218500752,0,219594496,511722,98093392,271390417,81764189,2798010,12401907,450038625,228523304
     1.405549055,986173281,308869541,308824110,270901985,271786148,168460060,3455589,0,0,0,0,0,2398681,270206091,322217514,496898866,32697974,24193,338278464,0,40578979,481180,81377470,270874637,62846217,2678451,11588208,459488056,248005293
     1.505919658,774770077,309116758,308679288,270987036,271657720,165211587,3386681,0,0,0,0,0,2399112,270408788,428584146,363313910,68807239,23704,408644776,0,15270620,645089,122359193,183078592,74731019,7515050,6180276,447647905,231700033
     1.606288828,749627905,308863763,308925125,270961952,271767839,122143456,138,0,0,0,0,0,2398302,269619062,412381555,369808605,78603677,63238,319045564,0,149094549,816792,89077009,191317518,70531784,4687323,8324885,400870054,250421075
     1.713249442,688362731,323991255,323597696,284350620,284924011,112687501,220,0,0,0,0,0,2508157,282438395,516053620,334812100,102395789,15882,370006048,0,145505099,815253,98235130,266114405,116108892,4453388,6438251,353116114,214721940
     1.813611643,898337232,309171589,308981625,271042566,271764195,194925688,4434130,0,0,0,0,0,2400239,270554380,467147047,449256547,37837135,10376,254147315,0,188345912,450327,64429471,221123893,48500649,2526301,10698017,431645285,257673953
     1.913985794,922785739,308625644,308646278,271048050,271671809,201330277,2389805,0,0,0,0,0,2398602,270241025,492243939,452548218,39840212,8801,218807606,0,224076977,719111,105084749,234839057,85683422,2486647,8590184,448583873,242093323
     2.014354850,743871763,308741840,308827496,270986459,271727522,207300593,0,0,0,0,0,0,2397448,270192385,574712181,355209383,46413223,8856,272379045,0,295623100,504878,34062109,246728488,24313155,733495,1187216,396368059,246230269
     2.114743286,909537334,308822901,308403175,271088560,271628198,203814071,3882282,0,0,0,0,0,2398706,270346860,464883482,416443906,37609628,11094,231687010,0,235963097,512560,61904142,201033259,20496135,1564770,1963103,493258691,253987724
     2.215098868,878746832,308931262,309045840,270844649,271732877,177315686,31,0,0,0,0,0,2397805,270089163,395190511,428996548,77336253,51419,449212650,0,21096296,661548,115396282,249810763,85558592,5947542,8859627,469281598,254317316
     2.315449986,723204944,308778866,308650995,270861936,271664745,113952411,149,0,0,0,0,0,2398077,270086319,416650314,353592880,82668845,62651,313083907,0,160500803,645980,93484417,215288039,69335750,4645653,7505629,390130875,244348653
     2.415791074,851194096,308468269,308223818,270784338,271381321,221490275,37,0,0,0,0,0,2393817,269680719,441745511,403345628,89295510,18528,403314356,0,137909670,527181,112357003,137673063,99391808,5185135,7746784,437721280,247552297
