Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100274966,<not counted>,<not counted>,47358745,129919521,130298638,0,63819,0,0,0,0,1133919,1146669,25664583,104274372,<not counted>,12514033,21874,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>
     0.200812980,381547498,309632595,309649435,271835631,272279141,0,34906306,0,0,0,0,2379371,2403340,122473415,444362226,193830817,64762292,37419,251572022,0,53795194,62357449,50422781,49385304,49385073,3791,11651,220742752,101102098
     0.301126673,753371509,307505237,307783102,271484787,271480544,0,46019176,0,0,0,0,2365339,2402293,246497883,624958196,423114497,77479275,87003,189358462,0,99869879,127641911,74120575,32210052,31901863,1691268,11995852,559926854,184397610
     0.401469893,582598813,309092867,308763361,271010422,271616773,0,0,0,0,0,0,2391538,2401584,93207682,405926112,354066172,76403725,34003,214949646,0,105558245,134114350,4854898,6996278,3999864,59013,162161,457110548,159914920
     0.501794871,1317646543,309254823,309151212,271318601,271711039,0,224653938,0,0,0,0,2401613,2401612,255778914,721055747,701060349,72692997,65068,312836013,0,415553500,9355160,139374301,70607739,70607613,8039596,2292577,766790237,259610379
     0.602096678,1369101084,309118331,309110908,271390224,271706078,0,347239128,0,0,0,0,2400635,2400633,255583916,660978088,679567184,67032666,77373,308935916,0,386366575,10885130,148883036,77231533,77231552,8128931,2687363,841955518,268220817
     0.702401378,1381304501,309188947,309124194,271250041,271651897,0,349004403,0,0,0,0,2384009,2399460,255816229,728502790,713091799,73379839,42573,311603770,0,409425111,9197167,129728573,73207904,73208092,7264520,1924596,829282266,264330164
     0.802700654,1423292517,309212937,309109383,271024844,271646341,0,346025589,0,0,0,0,2340804,2399613,256958612,699844243,725412337,70883510,56653,306334181,0,405802794,9256675,132218967,70741073,70740858,7425954,2095013,823304472,263254963
     0.902993777,1397052912,309091734,309150770,271153814,271668758,0,357505185,0,0,0,0,2355507,2398968,270473009,731752375,704967041,73366397,39348,295772780,0,346121632,16616991,109839420,66515545,66515565,3765389,483307,833756797,262453682
     1.003304276,1326657613,309033953,308902353,271304385,271537546,0,356488483,0,0,0,0,2367286,2397219,270365918,721400483,633050106,72117675,21107,310894648,0,372847769,349218,105088967,75367800,68197882,3361318,417303,831798317,262246009
