Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100329642,431565146,254072965,253701386,222854100,223514295,0,27,0,0,0,0,1972204,1972325,63515911,147212465,178616766,55057887,16880,109678367,0,253682,399977,459319149,80590377,79084308,1269584,2458286,257871086,123785399
     0.200863180,1061197624,309820276,309527773,271610729,272293290,0,214947726,0,0,0,0,2370067,2405633,270589819,262595135,439630089,58406818,16986,409191927,0,1519071,689882,525114622,191902538,191901156,3130876,15411637,566302749,180565923
     0.301273967,623619002,309027224,309002819,271343238,271776669,0,196600174,0,0,0,0,2384444,2399427,270514433,564541746,295813447,78734340,18757,330618165,0,5967998,600104,377826368,139857468,139857596,1444797,17417468,390248109,130095320
     0.401631650,1168139437,309207276,309014261,271086457,271773695,0,196635086,0,0,0,0,2400735,2400731,270654499,333526019,543615030,69629686,39888,594340179,0,2694960,670234,335279442,232703680,229904152,4785285,16433695,579588772,183211020
     0.502134164,721730187,309429878,309256575,271569927,272015255,0,202286819,0,0,0,0,2385131,2401923,270610134,440191620,296537951,65047477,18133,541962184,0,3397060,763806,673846240,190073749,190076556,2303635,14562507,577511868,186927960
     0.602631467,1013442266,309572282,309609725,271578633,272296033,0,176273420,0,0,0,0,2395854,2404706,271004054,433795104,536864329,67160876,23696,623502907,0,2799968,829831,278436831,137985277,137983066,5115065,17331537,583317465,188712163
     0.702989592,937605797,309212208,309000477,271358949,271776312,0,193521517,0,0,0,0,2400140,2400149,270583205,601165941,360687758,81594751,13422,560287470,0,2877889,727641,479584632,188922740,188852082,1303457,24270507,670494590,207683514
     0.803352608,939193352,308505537,308904516,270740025,271702116,0,175429506,0,0,0,0,2399940,2399923,270605796,488501578,397760211,78900592,18677,604063560,0,4186233,958788,483298801,160219720,148257298,3047472,20773962,622546645,201968233
     0.903763450,989406119,309550690,308856354,271347535,271751182,0,186682643,0,0,0,0,2332764,2398800,270493219,596607634,396827240,87992661,18317,330562645,0,788956,451847,474310218,136271005,136270744,3344084,29474337,666127500,207930394
     1.004180027,1226812334,309207642,309309864,271348759,271876219,0,206325047,0,0,0,0,2393854,2401086,270743744,600914248,612275159,93065868,19208,458049819,0,3525873,698619,184172233,237159179,237158400,4995522,12649243,556331845,176680491
