Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100203622,819568797,308594662,307983544,270709738,270753295,0,4863,0,0,0,0,2395411,2395443,269114202,699501214,407928716,172341788,1845889,326481717,0,432649579,1695793,41528749,13864459,13864637,483161,607076,585920758,203250914
     0.200570927,823856590,309731728,309673815,271719746,272039537,2440,819,0,0,0,0,2398929,2404949,269869648,640032920,394277509,169178346,2218783,453247037,0,241981186,10743493,33729097,28976352,28976306,941256,884567,593937536,207267500
     0.300883650,910772641,309421756,309464139,271469187,271839405,1052866,206054,0,0,0,0,2395625,2402312,270775705,700010660,459369211,172418194,1861443,397810844,0,319292280,11102372,24033520,17889406,17648428,625880,685042,648579716,219591468
     0.401187871,845631613,309569594,309503395,271171224,271820303,765069,112874,0,0,0,0,2400419,2403351,270834653,655882874,424359376,168356776,2228797,388373805,0,328946655,9533551,22938745,15377213,15377189,488339,513688,616210863,209951935
     0.501480077,1028032131,309541743,309466809,271676635,271797368,617,272,0,0,0,0,2401453,2401454,270991384,644820260,490154300,167220762,2290771,357321597,0,344522089,9985516,19323015,15965752,15965744,582817,529056,705717629,229728760
     0.601793349,930773546,309617429,309556572,271647878,271852460,73646,50067,0,0,0,0,2403670,2403672,271387241,739660036,455451464,174013149,1468896,521435647,0,265797182,11306806,22906346,21358181,21319562,606284,612649,658640109,217778374
     0.702104662,889148537,309584055,309474799,271622711,271801797,1009708,224002,0,0,0,0,2403689,2403688,271384856,718196165,447023069,172405208,1651614,404349362,0,329716916,10375198,24832816,22856333,17524333,582287,559409,643060035,217179087
     0.802415315,847896554,309499209,309554805,271642341,271852606,831783,164204,0,0,0,0,2403734,2403732,271396246,680262194,423457000,171301057,1917762,432607434,0,310059184,10015472,23403871,20121389,20121391,443032,482845,624576562,211884717
     0.902716334,842412987,309531500,309490992,271583271,271836470,205087,35477,0,0,0,0,2390491,2397222,270738435,662025773,404825381,173266309,2169597,427286990,0,314771365,10010175,19903081,17161873,17161853,328725,306918,619985051,209366699
     1.003087190,817283170,309703515,309673921,271765942,271983946,4476,818,0,0,0,0,2384315,2402127,271010294,641716488,390100983,168315507,1794063,525465591,0,187832107,10733423,38025175,25630841,25630902,1147759,1090020,596014507,208251214
     1.103396689,971131540,309549468,309450024,271004961,271795170,2838,422,0,0,0,0,2403817,2403792,271323671,637211629,489869668,172847181,2159259,342290310,0,314641335,9807041,16021317,23689941,23689904,683603,598125,613002658,211481893
     1.203708379,809583712,309583677,309535852,271840790,271850680,3225,242,0,0,0,0,2374349,2403504,271332664,702446062,395853641,177098765,1844409,270746385,0,434600572,4332752,29167372,28472209,28472188,351175,388720,591595352,204339053
