Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100191745,1841128238,308754588,308163451,270746166,270742470,968321,76974012,0,0,0,0,2395944,2396004,270637227,982781887,957225486,162221077,590727,811910425,0,181711759,5869287,42715233,34511235,34511735,5253445,7413921,1106806293,297098923
     0.200524195,1787196109,309815341,309820428,271850004,272029728,1474948,108321592,0,0,0,0,2405397,2405366,270840704,1006301338,937631022,164385476,447191,816722464,0,180781296,6025639,41362646,33758953,33758795,5132838,7013041,1093378499,295720745
     0.300801088,1804805958,309656469,309578758,271587304,271815322,1511776,107559928,0,0,0,0,2375946,2403309,271299427,1009928698,936112982,162799156,530361,804763303,0,193187298,6132328,43749772,36662422,34941575,5280667,7780836,1108131755,297269387
     0.401070633,1840234022,309651437,309569837,271538812,271770595,1456972,105109601,0,0,0,0,2404167,2404145,271113592,1000110058,952852762,163038675,531203,796924334,0,195915315,5636243,42251038,34645301,34645299,5227375,7838538,1115450515,298966762
     0.501318967,1831365590,309540961,309409296,271622499,271628222,1401115,103351085,0,0,0,0,2395925,2401708,270286318,1002906821,962715574,163483732,429743,814625230,0,182585144,6105088,41167758,32775949,32775949,5118665,6877883,1098222956,296453697
     0.601598506,1781469198,309618870,309507640,271667325,271817253,1497598,107381750,0,0,0,0,2404254,2404252,271561700,1010286452,920764684,163199808,477641,793388974,0,183534135,7758477,42490668,35203537,33801721,5241133,7620594,1099506832,296641656
     0.701873715,1796836663,309394211,309448163,271584045,271699631,1481134,106354652,0,0,0,0,2398293,2403065,271410711,990870447,916779924,163981107,572333,812207121,0,184948756,5883078,45062976,40417961,37073949,5439697,7418163,1110268918,297782460
     0.802188566,1810989853,309312666,308564124,269257531,271479682,1397198,103841755,0,0,0,0,1399065,2388781,268852713,951666801,953444825,155389333,700732,813624600,0,175457235,6072081,39009326,33213566,33213578,4845297,6465650,1085142477,293815265
     0.902443340,1790017848,309530127,309493765,269393965,271732498,1503434,108385719,0,0,0,0,2286340,2384437,268284471,925525272,924683772,150038594,596718,808796133,0,186090717,6222682,41922216,36264527,36264468,5145057,7725776,1102678354,296683011
     1.002728262,1817600778,309532299,309426085,271548555,271686359,1460359,104943839,0,0,0,0,2400191,2401698,271247147,985232615,940910067,159044954,653375,797183846,0,180588980,7670764,42092233,34910529,34910536,5155380,7658962,1110116713,298102008
