Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100200825,705896241,308568455,308159075,270667965,270767226,0,5233,0,0,0,0,2390381,2395162,269406199,760800105,366987765,147808384,2118322,397081337,0,253681167,58209789,9779952,10934324,9646326,345232,519303,361067693,224782658
     0.200566399,636848621,309689071,309785323,271795094,272062111,0,0,0,0,0,0,2378134,2405364,268509967,410533720,322320195,117804123,34397,409060590,0,2911749,2203300,10371815,8412085,8313184,1054795,222020,349643791,221885411
     0.300838657,633917397,309592062,309516390,271597780,271789835,0,0,0,0,0,0,2403248,2403257,269167832,379437489,320856049,107879812,42679,355339271,0,4097666,1321582,11961100,4102413,4102408,684667,161133,340159582,223143729
     0.401142065,658740812,309508862,309274860,271543808,271808411,1797871,17,0,0,0,0,2390725,2399258,270155978,500957989,294867789,127574693,24114,654737713,0,7768602,533381,16819472,11157254,11157262,470788,106464,560494802,196655645
     0.501436092,571073129,308385621,308766250,271699548,271617384,2057693,0,0,0,0,0,2396496,2396688,266396810,957586601,252222266,156033957,393035,790815655,0,202878804,2624577,3650205,3191138,3191138,57668,60300,587532570,201147880
     0.601756501,1770415439,309798360,309695221,271470497,271931847,0,202612820,0,0,0,0,2404941,2404937,258479485,847410970,928365118,124664062,41067,1076133451,0,39045735,105833,3505560,4576938,4576937,291498,116689,960209388,290214756
     0.702074818,2255014084,309765188,309687481,271738883,271888166,0,297075417,0,0,0,0,2355021,2404517,271522762,1108664422,1083807780,152265657,24767,1094389932,0,19710731,105290,7668910,6039579,6039579,591918,196023,1189972524,298134632
     0.802389261,2243170773,309765951,309676601,271639264,271904486,0,295113353,0,0,0,0,2395557,2404030,271487621,1098990291,1075675549,150828821,28289,1094767753,0,15931759,255468,8181347,7591372,7591371,564336,198736,1181270495,297188238
     0.902715525,1915806049,309698918,309672304,271737378,271902026,0,387635254,0,0,0,0,2403702,2403704,271443753,978500390,956810366,103550322,42158,530328545,0,457505108,100009,6335545,5223014,5223016,477084,137711,971198007,301120320
     1.003019893,1921952727,309713479,309624614,271711820,271861675,0,448235078,0,0,0,0,2399752,2403103,271336956,917545651,962538623,100735164,121498,524832228,0,433882121,109489,7490799,6888218,6888215,442703,140755,972461479,300717190
     1.103325710,1859286346,308054544,308801075,271456911,271829259,0,389021642,0,0,0,0,2401417,2404551,271531804,931528995,952188246,101662614,98513,526155259,0,379608946,108871,6702090,5953608,5953609,483964,147337,938166634,292217060
     1.203627588,1917439222,309712548,309612813,271845389,271863134,0,447485486,0,0,0,0,2404529,2404529,271325384,983183635,962531834,104080179,72036,523835728,0,459327057,106790,6735905,6477570,6477571,456511,135436,967382580,300143734
     1.303898217,1634152027,309063306,308306238,271364088,271602223,0,0,0,0,0,0,2378910,2400683,254708030,655468922,666752323,161883182,89338,774468391,0,6473104,102791,38760610,9981018,9981014,1790212,1988069,1105262973,280125426
     1.404212207,697072119,309648239,309562065,271729164,271856099,0,0,0,0,0,0,2398476,2404215,271494874,569510571,288798873,181541003,37442,666692460,0,2142563,79052,145555319,126924604,124141821,6795225,8269188,537024199,207190088
