Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100179084,1596886701,308289335,307728722,270515243,270521727,375865,8654431,0,0,0,0,2380790,2394039,269769830,799391572,794507722,82941592,129476,804928992,0,3131836,83951,7021023,6865051,5052520,561547,285253,1060498163,296900746
     0.200550895,1641350676,309403910,309368460,271755882,272034654,788,16274,0,0,0,0,2396504,2404615,271172300,802657310,795581095,81284831,43934,807603830,0,2000505,123642,6006981,5221955,4289991,507299,254490,1090068504,305048663
     0.300840507,1637568342,308918675,309050148,271248685,271689019,933,16836,0,0,0,0,2339104,2399756,270562449,800632477,796871036,82292408,54995,804045237,0,2257421,189958,6478640,7935374,5124318,506458,254696,1092313899,304111728
     0.401144858,1342481529,308336850,307729268,268216785,271498781,41071,25827,0,0,0,0,2375838,2402740,270908194,546437502,589347384,56588700,114600,529545311,0,4141366,288424,16243142,80890019,6422959,538531,263289,1018748445,300989522
     0.501451853,1645579646,309203596,308814008,271487957,271679765,486,10106,0,0,0,0,2257871,2378603,268307555,763151620,796181013,77519537,84770,795212612,0,3552069,139899,7003850,22436400,5896570,497550,247293,1098778914,305431527
     0.601744499,1632543782,309017277,309094526,271127051,271709234,1038,17206,0,0,0,0,2369064,2390751,268486242,800654441,787364956,80854191,33098,797521136,0,2168693,148176,7343232,9612087,5686249,497765,238027,1095376360,305219271
     0.702045304,1639898029,307355628,307190941,269744615,270297413,240,4871,0,0,0,0,1700163,2368188,266806958,523853445,793167825,54036759,85760,618688730,0,7762595,135685,6475943,5326542,4742076,512356,241772,1088321004,303503085
     0.802360094,1648783964,309114158,308556070,271404525,271515395,14714,16344,0,0,0,0,2370275,2398203,270417314,804368278,797527635,81609591,33543,809627752,0,1685563,87808,6998244,12131963,4911119,507439,262752,1093247030,304476544
     0.902646017,1640982529,308111483,309113244,270882132,271679126,555,11394,0,0,0,0,2367107,2395846,270415734,785738537,794003336,80307651,84875,805700382,0,3449968,126018,9023244,6506822,4970921,503463,253662,1095972904,304819914
     1.002942122,1647043049,308619152,308336032,271242371,271431992,547,10751,0,0,0,0,2257725,2395339,270042303,799095817,797008074,80965449,76037,803932175,0,2402464,130219,7953471,6086476,5166553,491782,249087,1095159157,304750582
     1.103227308,1629266335,309043837,308859260,271358540,271598067,727,15576,0,0,0,0,2326568,2394214,269821016,804722360,795653462,81471480,30072,799418078,0,2302014,239730,6887668,5161932,4373050,525857,255409,1083521265,304070258
     1.203541649,1629855951,308687106,307586350,271216226,271624196,236,5217,0,0,0,0,2376006,2398941,270455501,782094064,784388705,79484700,70220,711706568,0,21382083,17653098,8989879,6727939,5356258,481454,231421,1093250034,304433327
     1.303843194,1407042424,307583248,307209715,270062769,270835082,455,10078,0,0,0,0,2361005,2387500,268663959,644388364,634064905,65468853,41671,651452224,0,1206665,83410,18774621,29162648,6240634,517801,228213,1033944706,290519532
     1.404187279,1302796896,248844732,248004615,271034707,271411784,441,8152,0,0,0,0,2371002,2392781,269849612,649303380,642637188,65409732,26474,651375875,0,1248953,122466,6595342,4572077,3944602,459573,216279,857238665,244320508
     1.504536210,1330514329,249413333,249567588,271432572,271847202,494,9342,0,0,0,0,2390291,2401017,271024460,649371071,643803941,65959967,34717,650796065,0,1516537,82190,5512843,4780234,4091777,416241,198013,885516690,246879142
     1.604874945,1332485346,249451135,249246619,271075736,271881146,496,10339,0,0,0,0,2380546,2402728,270519666,648362868,644774524,65527433,27670,650832280,0,1498186,124387,4835977,4605703,3552667,414779,196552,888597267,246761600
     1.705207965,1328779817,248688352,248828600,271145136,271646658,462,9923,0,0,0,0,2327206,2397492,270451759,648653592,644959532,65650255,33722,649186502,0,1195839,113220,5834922,4358948,3935780,399511,198689,884909308,245756963
     1.805549570,1323740344,249061645,248890002,271413591,271718866,457,9150,0,0,0,0,2353590,2401297,270739258,649871125,638483500,65732845,26380,650233023,0,1662008,128862,6033871,4115974,3427790,407668,197196,884926851,246258584
     1.905903544,1331464209,249547905,249383391,271182596,271793878,522,9779,0,0,0,0,2382794,2399398,270683930,647893413,644687902,65668820,31138,588071187,0,7126843,274749,4359628,4585112,3787108,402573,200069,887939701,246770750
     2.006239713,1307960795,247980294,248179715,271060871,271611952,281,6686,0,0,0,0,2371716,2396791,270353191,647756845,628268952,65569995,35305,639882922,0,3317374,164103,9140866,8716116,3745404,430231,213036,880229394,244697378
     2.106582691,1316000803,248114594,248703870,271150599,271234272,1217,21348,0,0,0,0,2379835,2398644,270684148,650186793,641256678,66613839,51573,606482105,0,16665171,213256,5305028,7550059,5238981,409216,192210,873786180,244415797
     2.206927849,1315829531,248479349,249110516,270826003,271706122,429,8001,0,0,0,0,2378961,2399453,270505760,647084702,638498866,65441459,25418,647765926,0,1854877,125033,4972380,4823902,4149113,406652,189335,880498481,245559941
     2.307296148,1333387631,249596327,249511174,270818686,271907000,605,12584,0,0,0,0,2372955,2403274,271073047,647560848,645611987,65614496,45594,650199362,0,1863032,85295,4706508,4120787,3462885,418066,195395,888968695,247132480
     2.407625486,1334302384,249578775,249510641,271522997,271910377,757,13641,0,0,0,0,2371230,2399949,270730987,649780563,645527325,65861411,35367,652528761,0,1261952,86057,4820250,6092105,3601080,399131,189119,889081308,247072571
     2.507951794,1328767678,248730139,248292195,270658918,270873454,60,984,0,0,0,0,2166066,2386566,269071148,634831409,644180560,64399639,57179,645629623,0,2052193,232203,4774910,4228394,3645838,422674,200873,886815701,246339466
