Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100210120,47136719,307973926,287597293,270155568,270569190,0,17,0,0,0,0,2330001,2387769,87553844,300769097,137165734,34226831,113011,52400604,0,109287221,194150898,8521833,38599122,7628697,55003,112781,122956645,65404448
     0.200529084,1018899347,308537620,308499927,271493013,271856637,0,11,0,0,0,0,2394361,2402652,270104362,650332765,482478394,169705479,114421,391246625,0,282181403,5834479,53517887,36068797,36068760,611235,319979,601417355,210458452
     0.300833368,1041556896,309467333,308777774,271529778,271716658,0,0,0,0,0,0,2355216,2402550,270931686,661481977,484031966,170282131,136244,385267805,0,275507745,5346528,48157971,30902750,30902752,612110,325493,614562880,212463246
     0.401480011,1068580326,309449822,310436134,271065349,272737218,0,0,0,0,0,0,2345828,2396681,270715138,656323232,485772125,169400901,251656,396393808,0,279714558,5917533,52808910,44565185,39362882,582650,420682,615101678,213026288
     0.501790657,957567639,307591798,308544436,271548993,271699573,0,8,0,0,0,0,2285274,2395850,269917160,631176426,443991791,165601801,117334,369550873,0,280077592,6972203,58969437,41314758,41314808,612683,319849,578328870,203985424
     0.602126290,1029010507,309508305,309337727,270542929,271713151,0,0,0,0,0,0,2341319,2402928,270666605,613315314,454177829,162132348,507716,391222722,0,260695521,5021819,65120735,37572438,37572439,587396,528960,630982712,214576024
     0.702492853,1019769293,309520515,308496767,271763293,272030139,0,0,0,0,0,0,2356300,2399235,269957549,645741479,465964096,164071938,278814,396647603,0,294338278,5944253,55805592,44527429,34076637,590502,359583,607629150,211293959
     0.802853298,998385350,309092084,308683635,271240489,271562290,0,0,0,0,0,0,2377341,2394670,270457703,564366859,458937601,147592528,1172369,366263240,0,311110471,7016025,54380578,31838275,31838273,656977,245832,593922652,209286610
     0.903222016,964354278,309625745,308380805,269604634,271830298,0,0,0,0,0,0,2255200,2398202,269827451,649502568,456211741,166525964,193269,368158986,0,290152446,6342180,54881387,37850853,37850817,568231,214964,568197484,204585318
     1.003580877,1034563250,309679493,309699416,269690761,272022845,0,0,0,0,0,0,2316437,2394153,269559630,639993846,484060602,163555583,233421,360718055,0,303874661,7360241,56610833,41284251,36654005,593772,331639,609022872,211658311
     1.103934482,1000606273,308432887,309352555,269519505,271830114,0,8,0,0,0,0,2352157,2400408,270999839,637704789,472221955,165088781,207953,367416532,0,298789563,7772568,50380726,40709415,39133724,591178,275769,600949974,210596147
     1.204284184,988066539,304292653,305692182,269278838,269279497,0,0,0,0,0,0,1914546,2366538,266751719,644820893,452356108,168324464,193344,392813001,0,266798322,5545728,50637589,36149421,36149427,573734,566333,585907319,209823011
     1.304625349,1057194685,309453778,307909735,271602212,271807007,0,0,0,0,0,0,2096409,2388711,268184372,599547634,469516477,158059406,753492,394211405,0,282007504,6568282,60114852,42094856,39861569,644095,446923,657121652,218949139
     1.404984236,1001435346,309119225,307831465,269858486,271822922,0,0,0,0,0,0,2404305,2404294,271427875,630135537,463241270,166144360,191062,387872941,0,277876497,5568443,55112140,43325790,43325836,582860,341837,586376106,207647959
     1.505340660,964422994,308331145,308770526,271703250,271891180,0,0,0,0,0,0,2368217,2398523,270875280,634444019,449659657,166780634,118142,398963552,0,287833701,6349689,49517180,36954782,36954747,545847,310934,593829552,212155497
     1.605684582,991937858,308286317,308574877,269619185,271838853,0,0,0,0,0,0,2364364,2396380,270536987,647359677,453027781,165922494,202350,364720092,0,302093079,7044809,58330337,39970850,30552072,647119,275761,604656063,211178962
     1.706030609,1072171494,309642414,308010791,268882653,271862428,0,0,0,0,0,0,2334546,2402236,270804759,586948155,494148105,149842164,483966,392886470,0,300457854,7122310,51857017,43869004,43811394,532885,251100,627043232,215892862
