Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100180117,1502646088,301694945,302485746,262981379,266221131,0,7455,0,0,0,0,2269412,2348590,263555748,638912884,743668543,127561830,4635754,273707310,0,458049129,30438995,4307213,60080623,2532807,26909,21222,842901533,268934558
     0.200610764,1209354778,306029731,306092923,269437528,269936016,0,0,0,0,0,0,2323445,2385701,268642476,815368262,526861453,158608459,3156982,284892789,0,496876022,23980709,19163003,80298914,32541975,728251,1581022,713152676,212258065
     0.301159599,142704098,307388614,307886319,270489671,271189069,0,0,0,0,0,0,111865,2391237,269183389,84952332,62339501,53092900,13710,79348009,0,3140104,422597,2152036767,301533456,300047933,13087874,30100,76753158,142931938
     0.401510783,249925505,301336280,301113224,263600716,264977918,0,0,0,0,0,0,1579614,2337697,263308239,558775520,108124737,128801645,21263,461177635,0,4542466,1185334,2842369344,300588483,300481420,20989144,26506,117237526,95861613
     0.501933204,306587622,309178561,309036490,270663772,271867236,0,0,0,0,0,0,2060201,2394539,92261986,329918844,127720470,143828241,111288,305687461,0,56374633,66456026,2652222429,35126907,34434736,26692029,23220,158342588,107551286
     0.602291568,556101812,308337344,308556713,271217542,271629298,0,18186864,0,0,0,0,2114139,2396705,188384007,616168308,339050983,105802513,298060,561345005,0,42761664,46182787,29455490,49577768,40049042,155641,2010295,424182587,151011673
     0.702643192,766722551,307626896,307078603,270253788,270986865,0,0,0,0,0,0,1780487,2392059,78535476,391170487,448250417,79256028,196652,175641506,0,117165455,143771012,89332432,7496867,6325708,690077,11393658,470767704,165746656
     0.803015184,549426101,308113936,308358736,270466640,271503044,0,0,0,0,0,0,2024480,2395288,78436808,359929556,336894978,71388075,1020297,162591844,0,115390315,135993145,7169032,8180057,5703581,110372,162810,426244820,160803816
     0.903416131,898415073,308648321,308507263,270787709,271701286,0,139013566,0,0,0,0,2048210,2395946,94310077,430333971,424626844,50120238,39491,532669079,0,3671507,1135644,318342224,231098856,135869141,1386616,6046757,495541981,163845409
     1.003909283,573104180,309047172,308314014,270863802,271783467,0,322321169,0,0,0,0,1823706,2393174,266499261,208531544,260469246,19096102,62556,109081148,0,3127570,1153888,803158994,239312046,235244724,2039598,3602667,474438913,196431026
     1.104387667,1106448862,308787047,308848798,270698004,271752443,0,111530484,0,0,0,0,2213015,2397754,267034758,565239052,546953987,65653904,22063,542131352,0,3369804,1272654,333613811,184385821,171313531,1778334,8969016,610495695,183728242
     1.204851627,1162224632,309079299,309213040,271218113,271939850,0,37635952,0,0,0,0,2168571,2401766,267682077,290410870,641869401,25354593,57849,502974739,0,15755267,1105277,119925342,93437161,83916198,1247025,1650989,444934117,161300191
     1.305368607,1090488844,308976219,309001059,271470991,272141768,0,274330070,0,0,0,0,2132082,2403082,268918577,240777673,549637542,21860287,34169,175613484,0,7045313,1173634,320034223,221363656,206951734,1684132,7916292,569290874,176369018
     1.405880768,952140020,308779104,308638313,270628304,271548772,0,307913801,0,0,0,0,2044097,2393560,264205860,496043099,416514461,57738107,47105,526192635,0,5567782,782143,547629205,196818978,173300246,1868679,5936044,614773810,204001190
     1.506263725,564814110,307705873,308431526,269852704,271176831,0,86787038,0,0,0,0,2266608,2394993,265886644,640301137,327229438,60179320,57231,682580232,0,3100982,975299,1245111361,93535442,79753211,4009302,4235585,248746590,114662891
