Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100199501,2148920388,308189465,252068069,269130021,270413118,22869,11,0,0,0,0,2336412,2370307,150329251,943864532,1194168832,94593811,12602,1139812588,0,202165,136102,1060080,1182715,1182730,3522,2098,1174826453,295856902
     0.200651962,1638236723,309740796,309787838,271503626,272215003,13956626,12,0,0,0,0,2250191,2405425,269494760,1099599928,912733260,111104217,42479,1191584970,0,170957,125900,275876964,75535792,75535891,1241997,251164,711004874,205797790
     0.301006596,282017274,250325744,234699093,270780883,271851573,24591447,8,0,0,0,0,2392117,2393037,253450958,274616129,150287287,33447689,21663,194258222,0,40264816,896848,1239962152,50277337,46282509,3353038,1101130,154009507,68914348
     0.401362692,274346491,233494424,220012543,270384546,271797178,22980461,0,0,0,0,0,2307747,2400755,259531452,756824906,145219266,83076644,35509,852446520,0,204494,168305,960862304,234417878,233492233,3254361,902340,144921304,65824603
     0.501729298,506713935,249501142,248933601,271643672,271580195,35442082,0,0,0,0,0,2395250,2402659,271130536,412748528,268520164,77826069,35677,292567190,0,44746978,442966,270066880,213227325,212983439,1411574,737201,267860868,127095325
     0.602071064,1165392592,309529409,309461133,271651569,271852615,0,0,0,0,0,0,2403940,2403940,271153645,490173462,518224397,94335324,9972,440115862,0,1645491,178299,881063825,293535171,293534647,3374000,46145732,582521049,181019157
     0.702402827,1004386938,309332599,309341487,271447845,271775525,0,0,0,0,0,0,2389000,2401308,270755884,488982901,430749217,94115842,27257,660009985,0,866871,207991,865316496,293550797,286103060,2493768,56612271,568314197,180657792
     0.802763413,1269074636,309420968,309230183,271569206,271826683,0,0,0,0,0,0,2049813,2401188,270710474,483281026,456404726,92853706,9333,797090762,0,174740,144113,969797882,244477617,244478743,4252396,31508747,654924972,248114199
     0.903095831,1291120882,309441298,309424654,271537444,271901529,0,0,0,0,0,0,2384726,2403155,271061397,705068215,590814004,156835851,26289,702451254,0,3877220,266448,810489678,294699741,294698422,1068424,79490398,570203778,207451826
     1.003413347,1167198286,309349273,309330575,271370341,271769741,0,0,0,0,0,0,2401457,2401479,270836007,483180070,542265686,93698046,40859,625154886,0,8419198,105169,370677210,204832156,204622729,321652,37890531,623442051,202899928
     1.103744428,2109440730,307959120,309222260,271070349,271730789,0,0,0,0,0,0,2211450,2401664,270545843,745305671,1176365129,179817037,21052,783881473,0,1093218,391993,745201,473634,473636,6770,3209,1131791512,304462224
     1.204137179,893783628,309536919,309273172,271854098,271927702,0,0,0,0,0,0,2384695,2403275,271096033,370382956,363078413,62051899,10605,401356573,0,169360,107555,746943599,273735745,273735677,2210534,27511673,524504669,158836278
     1.304477614,939085430,309426123,308788912,271544748,271752096,0,0,0,0,0,0,2401881,2401862,270714182,487004536,427814454,93637701,28830,313204066,0,164119,99118,849025019,279174630,279174124,3413230,43203538,430828451,126954375
     1.404859000,1180589668,309526478,309143376,271479959,271814840,0,0,0,0,0,0,2199495,2401673,270894798,447508184,436261954,82775310,9925,297211552,0,176398,116428,976766885,292762620,292764813,4391461,36112207,579160404,181424024
     1.505259265,1116742367,309542038,309385933,270379789,271899094,0,0,0,0,0,0,2393245,2401788,270858247,555849701,370065845,114170898,34154,800375280,0,183267,100692,985726764,264144099,264142933,4405970,32185358,678794352,217668036
     1.605582204,1846499369,308874065,309261153,270871422,271746637,0,0,0,0,0,0,2401240,2401227,270228564,664345693,728471311,205884216,51230,633780891,0,26145385,391665,697914720,297301126,297299634,1718651,62359409,778754738,258037120
     1.705900396,972755697,308972645,308988636,271379678,271665336,0,0,0,0,0,0,2109349,2397350,269623346,472977178,416795840,165435130,12785,430220755,0,22966483,112692,622804085,287600566,287600575,991541,44913654,593666720,200996421
     1.806211961,1869748738,309358340,309028929,271393969,271683186,0,0,0,0,0,0,2324669,2402145,270743170,805117557,797328958,178955941,9666,786826078,0,216089,248698,647327384,291294482,291294970,981710,75257518,617317922,213431979
     1.906523768,770510419,309314626,308803595,271330358,271573894,0,0,0,0,0,0,2360487,2400980,270836914,829765409,347478715,116120266,20389,902402919,0,166760,191674,862889818,297533046,297533156,3291732,30929673,463833290,132242410
     2.006890602,1497446343,309583914,308704779,271447742,271667060,0,0,0,0,0,0,2373915,2401630,270865870,370029368,744477124,61293624,23590,387869001,0,533977,170839,681976969,298986974,298960341,1272052,71179537,604889272,188965190
     2.107331869,930849703,309695142,309360476,271583251,272034564,0,0,0,0,0,0,2259802,2405043,271254092,504637980,411491541,99046421,9657,469985228,0,254371,102231,775945986,293005003,293001356,2653703,46253908,557781912,172144453
