Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100282677,296864048,231093570,227741550,251093404,252469284,0,105591,0,0,0,0,578764,2210214,247809607,405178945,257875246,32814786,572469,135889877,0,147798142,258564477,76366081,89434003,73752477,2671323,2456968,386468194,179590640
     0.202874875,351423233,249590037,250873144,272582412,273907117,0,123587,0,0,0,0,841211,2385415,268206989,363922455,337757606,29720351,852462,98908798,0,114620539,199149535,131112434,61433798,53543523,2999116,3270432,398273938,169666679
     0.303483594,370970957,247526110,247801480,269938423,270923258,0,102941,0,0,0,0,924828,2390215,268337778,327093109,327115060,32537014,1093197,67713915,0,123823233,159699430,143755331,163592476,107686229,2833104,2842911,428296184,188025261
     0.404330257,446513110,249250134,249419115,271325299,272314518,0,112787,0,0,0,0,0,2396275,268609772,324901766,411494501,32926228,831679,76928808,0,142146268,164256737,120975932,105654895,73058041,3248520,3530774,544737001,186733438
     0.504789371,491598058,246791166,246632464,269331476,270569112,0,115202,0,0,0,0,1402752,2385517,268300235,403712172,467425712,46519707,739962,76298571,0,125256287,163351900,80697579,161198976,91516954,3837534,4525591,478347154,183326222
     0.605261703,459871797,247901134,247537125,270576390,270759896,0,86149,0,0,0,0,2144479,2389076,268052052,514430355,361282770,56941770,305453,178263768,0,167853752,230107352,112615977,175118937,91891779,2197978,2403718,498147396,188986889
     0.705721561,577104760,249004380,248892081,270431367,271803708,0,134056,0,0,0,0,0,2392307,268957362,364420410,520929806,32020433,1152358,95427640,0,132926770,204367317,73342775,101604572,66759143,3365564,3942294,628547561,212727073
     0.806170255,493597333,249372623,248951231,271133690,271813476,0,124641,0,0,0,0,1474545,2396081,269178688,468651168,462034460,47162545,687979,101103922,0,136851598,208220694,85899441,84450418,65484822,3629745,4488469,554827747,195309400
     0.906602755,601699230,249713772,249220468,271449315,271726794,0,138178,0,0,0,0,2278097,2400513,270642773,488112375,570680421,47053761,909040,140796896,0,154856852,205399931,67972935,45741003,44446208,3894627,4841633,686403839,220024722
     1.007053383,591594581,249261219,249543635,269560380,272096209,0,139125,0,0,0,0,2368440,2390192,269339215,582916043,510574284,59728735,229397,176655938,0,173211562,250175683,61188955,154527417,85929029,3151356,3829548,659434223,214263873
     1.107501264,829254663,248907268,248854410,271759897,271753248,0,0,0,0,0,0,2191458,2398589,270642592,585589939,419898120,48705422,265605,148343205,0,164116954,284144437,1098395073,16774991,15706349,21829036,2381982,446635063,180924385
     1.208165908,959489603,249907257,249853139,271258425,272482293,0,75448,0,0,0,0,599289,2403566,261081764,541661633,568585617,66950061,530314,458140733,0,116009318,118762045,41204236,34965767,29988690,2238528,3297453,716000292,219220145
     1.308612295,854527867,249240311,249092082,271767894,271970789,0,107846,0,0,0,0,2368735,2398795,270750698,564341040,588353750,57280370,413157,293830603,0,109261232,143305109,54954736,41216612,38089868,2685363,4108249,712625260,220761929
     1.409098900,766814098,248831877,248928959,270962774,271951702,0,110530,0,0,0,0,2033991,2402728,270480856,585877019,560574565,62211128,481307,296575380,0,141766542,179392299,51942230,36376350,33846169,2705725,4858100,597390063,208345267
     1.509593636,892560290,249887944,249354871,271550645,272122056,0,108054,0,0,0,0,2353058,2403734,270209929,622894596,616154517,66904266,223564,245606174,0,125419121,133853755,48405076,35436499,33156304,2788914,4324564,710904569,221469557
     1.610033761,819011610,249333525,249536041,271638890,272111574,0,111598,0,0,0,0,2325290,2402213,270188293,630701125,553836389,66150894,219894,298144194,0,141286425,191554618,76955980,64219837,42964442,2678794,4488579,705049130,221293173
     1.710435024,559149507,248831441,248872064,271391745,271500071,0,93186,0,0,0,0,2378834,2402573,271138427,608958650,439235036,69867288,278442,304098744,0,144407021,179195915,71912033,35563716,33622080,2925586,4332959,399754761,175978711
     1.810865761,713646743,248647174,248633658,270093296,271258273,0,83088,0,0,0,0,2176140,2396179,269669929,580193614,463198678,74166157,415918,336461236,0,137989586,146259184,78800309,80595855,39223706,2146906,3049713,580267182,202512659
     1.911290421,829571440,249412640,249349039,271621568,271941565,0,99901,0,0,0,0,2355565,2400671,270739212,646463989,577169002,71783169,218537,272832829,0,156805579,170644880,48486302,32480790,31537134,2772092,4587497,666372957,214914613
     2.011711405,789939072,249126430,248750007,270220749,271728110,0,90691,0,0,0,0,2124725,2399404,270259374,608910095,530969952,69936383,281865,321707892,0,144522664,158029895,80482430,139999572,65139278,2573312,4507682,574276027,204356417
     2.112142034,879024089,249257888,249065521,271329306,271865913,0,108408,0,0,0,0,1900912,2401271,270828920,580280781,597866749,61674721,535959,341429751,0,124739584,172999050,47310941,37937088,35856739,2871754,4412492,703545203,219662233
     2.212627353,719741448,249044468,248835842,270485486,271811517,0,104065,0,0,0,0,2101660,2402489,270018307,469706303,522097808,49096638,469781,144148385,0,127468565,143147100,73316740,136664922,73219006,2574500,3886883,615077958,198369191
