Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100198709,1468148838,254560160,134464109,222665540,223398863,0,877535,0,0,0,0,1969111,1969782,196336367,523157853,721075748,121008975,3141669,357554736,0,172475547,21859588,7379118,4583613,4473912,715291,1432002,947827036,245491011
     0.200560423,1780724780,309134490,309659960,271763389,271992459,0,154913230,0,0,0,0,2370293,2405850,269523997,938256032,887786494,118208114,546608,718511437,0,199008841,5252262,6161901,12234481,10408192,461920,1015841,1101916762,293088951
     0.300856933,1632980983,308227654,308841311,271680175,271802820,0,147090935,0,0,0,0,2403797,2403797,271457959,909638905,842292344,110409515,1044188,790304000,0,167615968,8844234,12906454,10152474,5495061,837377,1667357,1006917922,287913087
     0.401162249,1777389738,309604359,308802801,271291993,271753913,0,143375875,0,0,0,0,2398609,2403781,271257415,920446179,877071030,130776690,724348,724995242,0,219202667,5759403,4275077,10663467,10197128,318098,499499,1124556898,296516401
     0.501453984,1784770458,309502429,309438092,271517390,271751415,0,142253526,0,0,0,0,2394442,2402682,260884244,885059786,900719384,106993017,942770,760971956,0,162330766,3848899,4978041,4177742,4177741,470514,528413,1147775072,298564010
     0.601727027,1792140975,307995694,307877763,268488836,270370390,0,151146348,0,0,0,0,2287254,2385321,269086789,888290461,888263570,117703038,962232,753415267,0,175046719,8641297,8249148,5360906,5360918,827998,1186694,1084784190,290101725
     0.702068467,1803690208,309809406,309747721,267961320,271980039,0,150439788,0,0,0,0,2404122,2404121,270940854,882098813,902393401,109646165,1193755,758683441,0,186760606,7185079,5144896,7268041,7268040,427098,939020,1145905145,298595169
     0.802394253,1804147812,309657570,309551186,271413443,271886374,0,128701311,0,0,0,0,2404496,2404495,271472324,779332620,892255514,107444670,266655,703204175,0,189027394,5265775,10845935,5984964,5984957,899820,1149701,1109679105,293808491
     0.902699665,1655536285,309447235,308878827,271685643,271808004,0,145414159,0,0,0,0,2404100,2404100,271417814,832605754,790299875,113625491,1169363,624679309,0,196944533,3449633,31259843,11654282,11654285,1336344,1419932,1025932453,284573639
     1.003037140,1733087896,309525560,308823248,271737273,271851148,0,177714757,0,0,0,0,2377378,2398005,270942232,913023687,845741516,136135580,1215925,834832947,0,117431470,2759351,13845074,8726147,8726153,737674,924435,1149062569,293678052
     1.103367588,1535741151,309784838,309518052,271701574,271907888,0,150763254,0,0,0,0,2404147,2404152,271510757,833780039,758500705,115937413,586538,683359062,0,147762814,2958412,3974529,4449555,4449551,316609,307931,924206656,273970798
     1.203683722,1614303009,309610326,309645500,271761280,271916250,0,165389416,0,0,0,0,2370338,2399773,270712854,880849081,806766058,114882665,176662,861721004,0,66266949,646258,31199008,15498425,15498445,2161816,2237090,986597840,284904983
     1.303996844,1679801752,309676909,309502366,270526099,271853558,0,179376734,0,0,0,0,2221325,2398968,270828334,900449873,865919007,134144937,1215002,716746208,0,80586941,3263791,24187449,13841334,13841348,1715531,1698652,1039698681,287900483
     1.404322895,1667248940,309429434,309396869,271685745,271882477,0,185736326,0,0,0,0,2287399,2403132,270925555,882713906,801335895,125573724,1704590,792144739,0,146562806,3183479,24781575,11198802,11198783,1671874,1850969,1113393320,290594110
     1.504649897,1815283759,308858810,307432648,268989875,271406757,0,174732802,0,0,0,0,2151355,2390573,269918372,893446756,892253761,130265777,927761,752735227,0,118904127,1900553,23566875,17555482,14900096,1481150,1700673,1161398228,293906904
     1.604977483,1675112999,307832139,308556638,271659861,271721977,0,159617661,0,0,0,0,2404774,2404777,271554859,939541510,874565638,138066338,858406,869096899,0,88853654,1360627,24716528,8266382,8266406,1568950,1828190,1048822021,285140969
     1.705290875,1423216130,309468159,308731778,271637348,271870579,0,152875730,0,0,0,0,2374441,2404486,271443553,868990429,732383933,116510181,231287,757794676,0,137230549,1194926,18491157,9657049,9071248,992452,1234347,869343301,259376737
     1.805620647,1892688317,309695233,309556072,271754118,271918658,0,148321610,0,0,0,0,2370584,2404313,271505254,713863487,909076930,111370179,621704,657785640,0,149195126,5913888,5301465,9170861,8596135,264859,273964,1042555229,288155769
     1.905945378,1492146337,309763254,309676195,271711359,271922940,0,109096137,0,0,0,0,2281479,2399036,270688903,764589122,717077076,109423860,239513,725003354,0,66012770,15293619,14486630,7921237,7921240,988431,1065655,1039712759,290049664
     2.006253242,1837696867,309707805,309522618,271392850,271814457,0,135949164,0,0,0,0,2369316,2400152,270801737,898471354,891052028,132920493,727962,830993158,0,57473352,1140808,3220422,1917817,1917816,207488,216741,1091086817,291827409
     2.106558608,1434827664,307936817,308645950,271679333,271767490,0,174980956,0,0,0,0,2293478,2402261,270845085,877187132,753430957,128970655,1109766,608153221,0,190311700,5812821,14771047,17329439,17329437,1058615,1138467,841184826,266878002
