Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100208116,374216610,307448610,306486428,269613252,270252295,0,0,0,0,0,0,0,2383290,76688977,245969140,285703102,30522006,1065405,41386421,0,123511787,104727782,6649730,7228850,7228973,113963,275284,374643557,157852404
     0.200643784,686908926,309223648,309657798,270559524,272181557,0,144006744,0,0,0,0,2253049,2397192,75689522,298062778,325191234,38722871,914211,92966915,0,125522172,147517749,6517278,5466742,5466713,87299,154918,565244429,245018881
     0.301031242,763841224,308574963,308544728,269964608,271520585,0,243221713,0,0,0,0,2370711,2396458,269674026,343895875,379868905,28801241,48317,336940861,0,12996566,543630,50728012,38715547,38715653,593675,3707584,405312152,170588556
     0.401487801,608397987,308795372,308797160,270889088,271860041,0,236559093,0,0,0,0,2355936,2400451,270222246,307433417,312669921,26041379,23913,390812541,0,5430116,566071,58076248,36780324,36780669,586820,3739203,329483905,158133608
     0.501935359,683946354,308514384,308617488,269265145,271578364,0,203797840,0,0,0,0,1055329,2397057,269226506,377640742,291862997,31332082,46104,387984607,0,7365527,473382,87045107,33593274,33593008,471464,3401405,405479242,169956102
     0.602410919,786454517,309139445,309028170,271098868,271949035,0,196331233,0,0,0,0,2365725,2397875,269879182,371190252,394770214,30896478,15415,395653678,0,2420592,615981,46552972,35359060,35359148,609046,3739879,404619877,166944840
     0.702931410,770115081,309331209,309027984,271116665,271875807,0,246168874,0,0,0,0,1446038,2398192,270007118,377041877,373606552,31305874,12661,350586759,0,2080658,580724,55424700,40228007,40228073,570947,3585746,409751767,169427376
     0.803390710,739797304,308933450,309068854,270593561,271967128,0,235271513,0,0,0,0,2400654,2400662,270423025,331095855,374359943,27311750,30368,202838051,0,88598140,373848,47877430,57002025,34290539,596619,3670061,375215936,156534885
     0.903809842,749663799,308893142,308991387,270969561,271951401,0,230123114,0,0,0,0,2310549,2399281,269682046,393302013,387180561,32412864,11508,401185114,0,2120007,505703,48271178,32513916,32465425,571888,3468915,347118426,145404420
     1.004283053,698518288,308806874,309037670,271038915,271922353,0,213332067,0,0,0,0,2385843,2398387,270034781,385100718,365963206,31785517,29568,392976802,0,3913223,624222,49824233,39040805,39040575,611737,3781412,357835243,170383618
     1.104749170,793412166,308853289,308793528,269808051,271666655,0,228618981,0,0,0,0,2353762,2400121,269937789,321717111,391194901,26989336,61424,249177957,0,19968754,429603,41611460,86307360,36454039,601903,3630764,413771154,170959000
