Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100275200,1516223747,306658950,306026686,268577280,269570705,0,2089,0,0,0,0,767499,2379555,252539288,788539988,679087417,166783480,2240040,530183745,0,115252885,12991449,127883769,44548279,42035175,2484172,474263,698481293,232202035
     0.200760299,1466084352,308975629,309275800,271122146,272128134,0,3771,0,0,0,0,2356184,2402128,255317551,705805510,655004973,146705086,1554734,554717850,0,100360821,13377221,211623000,107886710,77307206,3789147,425853,698929659,235142792
     0.301150802,1261928094,308826429,308866703,271166947,271764559,0,3122,0,0,0,0,2336837,2398855,258306719,603500871,608851036,124028676,1242054,520790092,0,83327467,12911613,213421253,181493597,167119330,4976987,446056,521460116,183039415
     0.401698898,1051811601,309691821,308775473,271131985,271725767,0,2410,0,0,0,0,2309319,2399807,261166303,503683935,479353520,102427308,865384,504242241,0,76801384,11225444,611503711,154381993,153873039,4831580,429069,491102547,169974916
     0.502148900,852724871,309356121,309272474,271392342,272139378,0,2111,0,0,0,0,2336696,2400104,262348962,398657602,359396238,81326626,694705,297926416,0,51001984,7542961,744166662,156518490,153571606,4979767,374205,448640960,152526311
     0.602555610,925022134,308623503,309113529,271015158,272017475,0,2747,0,0,0,0,2060633,2394771,258583846,593122296,462356445,117745799,861007,578539627,0,79786824,12755236,497127819,155958401,155075519,7948504,489785,397683907,136525203
     0.702905404,1235169256,309366161,308865307,270460162,271628524,0,3130,0,0,0,0,2376498,2400831,259323886,470624355,552974907,96027858,1295162,519185343,0,73410321,14928689,383740669,147834238,146839224,8846189,503671,603668658,210592807
     0.803277342,942509564,309022102,309191456,271163680,271772529,0,2699,0,0,0,0,2211427,2400412,261025602,527469716,439435410,104333926,909515,479905348,0,64888860,15021558,487902400,142322471,140470561,9538407,609489,454423566,156069061
     0.903617959,888254119,308979515,309023976,271212695,271773697,0,2213,0,0,0,0,2378677,2399062,261326684,498449433,365558240,97091809,667180,236117567,0,31694037,6050417,838654656,157203411,156911167,7011930,376447,487141624,167842125
     1.003978991,1013579289,309119921,309091959,271318760,271766646,0,1907,0,0,0,0,2098502,2399678,262063179,452928439,457545577,88063062,619604,387152390,0,48835053,8412246,567603610,215840714,213423198,8375637,465808,455632002,162887506
     1.104462446,862132098,309508818,309233418,271264894,271885794,0,1506,0,0,0,0,2143554,2403067,264218926,340334711,378876662,66277900,502756,331353849,0,40758768,5221593,643388688,194919018,194673061,9223396,493277,416138316,146297258
     1.204936073,776033525,309426245,309207196,271768368,272146792,0,1571,0,0,0,0,2363435,2402899,264882981,269760068,301977476,52617461,534447,332587554,0,41192738,8154757,1637651864,259028905,253651629,5060501,271329,372514522,129772920
     1.305303032,521755320,309085774,309183683,271212149,271871920,0,1196,0,0,0,0,2155172,2400932,262542032,281336858,217013244,54155379,461604,318825115,0,39471239,8132235,1107504983,196052235,194914632,6516738,330506,296030873,105158517
     1.405728659,458035074,308719644,308187573,271184790,271751966,0,1193,0,0,0,0,2349658,2401260,270608504,75245648,206646009,11047605,30418,93213314,0,239858,686810,1042388937,301586812,301353081,8274090,377769,219962319,79873279
     1.506079480,471229909,308931747,308439818,269570460,271770061,0,0,0,0,0,0,2268000,2390983,269188433,176834483,206282061,25605391,20711,216223207,0,370265,1000963,975527298,297040884,296792320,14512272,629113,255534057,95857500
     1.606418745,421545505,309012076,309017127,271262598,271791548,0,0,0,0,0,0,2379601,2398825,270361141,214528035,183497940,31166911,24371,210439398,0,343589,978376,924778828,296348073,296104722,13503952,572290,222909595,88025239
     1.706753378,324484627,308908844,308904696,271001014,271679055,0,0,0,0,0,0,2335711,2398416,270000119,135355422,116919190,19945646,81620,102698689,0,320834,822023,1897511003,304958296,303877237,7010790,262304,210388499,79963189
     1.807097893,450445137,309065971,308972518,270808410,271703118,0,0,0,0,0,0,2345243,2401509,270642190,208936085,191578526,30265277,22235,213123327,0,322809,916444,1078166555,296216365,295865666,12538488,479787,255256493,98228289
     1.907449467,487295475,308650266,308583003,271064848,271281482,0,0,0,0,0,0,2356677,2396480,270103422,198242018,210356823,28812438,42672,199943517,0,370039,959726,980102649,295742334,295489618,14468326,648394,264257886,99232503
     2.007792152,364720386,308876972,308988142,271142312,271715105,0,0,0,0,0,0,2157541,2399879,270514961,212225207,137026555,30780740,23854,213416904,0,442919,1018652,1543832911,301275614,301084636,8223832,347851,210488468,83901416
     2.108122161,464550502,309107335,308927104,271150656,271648168,0,0,0,0,0,0,2374849,2400841,270086464,192017996,202742638,27909213,38740,209685980,0,366140,923146,957230687,296110568,295874840,14401386,608823,246461771,93771541
     2.208462766,481265553,308977133,309003638,271140254,271745383,0,0,0,0,0,0,2322539,2400292,270451309,196857132,211297532,28508847,21980,206415028,0,351256,926339,962241190,296406749,296108937,14948006,656349,254768830,97822861
     2.308803193,363598145,308928121,308927486,270978602,271737611,0,0,0,0,0,0,2338660,2401146,270563989,198009630,160115845,28748446,26023,153293124,0,1187900,849200,985978933,299759474,298814562,14081383,570554,213454093,85547575
     2.409122748,395753195,309145508,308895495,271198067,271646792,0,0,0,0,0,0,2244180,2400132,270410393,222891717,166814149,32229770,22424,224316067,0,528316,1111143,1158004404,302326209,301968403,11747068,430763,235989163,88710907
     2.509467022,401935079,308549728,308485063,270813455,271198615,0,0,0,0,0,0,2334062,2395385,269700848,118051184,184570803,17198086,22721,113539730,0,314065,736583,1238663025,302891444,302203283,12198704,493115,206815988,80827256
     2.609889811,322498175,309140386,309148378,271170377,271885062,0,0,0,0,0,0,2375797,2402868,270560711,147515587,141871415,21537411,28392,84656635,0,1652119,761630,1186415711,298067308,297658246,11556776,425512,185425537,77251562
     2.710263611,202310464,297904857,308847477,271283630,271696457,0,548,0,0,0,0,2097733,2401924,266654134,387091826,89353368,74009197,314970,390423469,0,26832590,3333985,1494873797,254156269,253679160,5452669,149671,141717715,80380586
     2.810670744,864114901,309334128,308865130,271402793,271761040,0,1344,0,0,0,0,2155225,2401676,266510717,391692103,343867050,75514304,543238,401368510,0,26196128,3233795,1476772414,136274085,136002172,5263628,276042,402366139,136574875
     2.911012443,1012215689,309164542,309167352,271214924,271725340,0,975,0,0,0,0,2212919,2399042,264721538,453793858,485829452,90024567,355095,437861413,0,31076555,3591394,861480185,148849020,148355249,7911426,387569,424054579,144719736
     3.011333677,875770726,308922939,309066910,271048600,271707166,0,898,0,0,0,0,2337964,2400211,263542627,506552391,448089393,100548031,362497,568743770,0,45913278,4597346,462694463,194517082,192587479,5946377,331381,422487060,147667514
     3.111684801,725953330,308974201,309082096,271301137,271729645,0,793,0,0,0,0,2344421,2398867,266183509,511656918,285998753,101339810,369288,301821872,0,26479062,3037958,786294300,127670763,127307143,7356507,371957,394205127,133801786
     3.212004629,997442030,309038846,308811821,271038407,271633519,0,798,0,0,0,0,2183107,2400622,266529941,438452348,438386597,87070253,318484,357691471,0,24992888,2960294,891961126,236039051,235851993,7320659,380038,466754805,158215214
     3.312357308,1001375939,309081176,308962290,271308101,271671492,0,765,0,0,0,0,2355127,2400082,266706657,388167319,478127172,76150229,295549,425375037,0,37137290,3841318,807247027,159833273,157339299,8166450,394316,424085066,147315621
