Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100195692,565397109,308297147,307599334,270364344,270632607,434279,200,0,0,0,0,2355715,2391875,256476981,559485077,247521123,115846886,137081,732732254,0,20010197,671868,133659444,17879758,16856141,1338243,881825,549229905,176224478
     0.200507505,458509858,309164613,308830910,271360879,271922420,6436,6,0,0,0,0,2358829,2396032,263741134,657631723,249686701,144476699,11372,544947969,0,1790457,857609,99450572,23173632,22803523,1004617,1350663,582195653,197288023
     0.300813779,375140065,308211932,308745830,271659318,271681917,1544,0,0,0,0,0,2382908,2402785,271286671,768078329,176837071,215730632,11822,888950758,0,1184309,146122,39913971,42337391,42089063,1475443,1165424,563672758,198577591
     0.401080533,392101430,309309571,307891989,271252919,271581648,983,0,0,0,0,0,2373114,2402978,270971097,766681230,183530871,214599405,16176,910811199,0,585324,92475,56595763,28860851,28587259,1852311,1479899,589030302,200083701
     0.501390247,398011252,309684612,309581160,271792842,271878486,1123,0,0,0,0,0,2380729,2404119,271267485,766101707,186359593,214676952,24789,912810719,0,498111,85226,51785784,38653849,38496173,2034219,1560139,589387476,199914515
     0.601699782,403355217,309693245,309589098,271664827,271869398,1264,0,0,0,0,0,2144483,2394846,270527231,764591138,188586612,215389324,21477,910806065,0,244800,78833,54926802,31253703,27003227,1979890,1491776,591177440,200989416
     0.702003661,380048456,307978436,308622138,271118588,271605502,1405,0,0,0,0,0,2340022,2402249,270462491,756342261,180811320,211660366,20563,903196033,0,631325,164521,50837510,49556006,48891713,1955556,1453518,562747222,197883565
     0.802280044,406168459,308122852,307124326,269680716,271582878,1577,0,0,0,0,0,2298795,2395810,270014306,750456250,188879453,211042538,28529,849889730,0,6585008,575004,63418315,43224263,43018998,2306569,1764150,582638361,199392960
     0.902588085,379672486,309189369,308684246,269285581,271872600,1606,0,0,0,0,0,2333711,2395096,270501008,759382631,175007089,212836445,29187,915279976,0,547391,89760,88860101,44441377,44263254,2195530,1691697,582408967,199729869
     1.002892652,381088871,307719255,307274482,271618633,271696449,1124,0,0,0,0,0,2284939,2392221,270101957,754075628,171892117,211502246,25624,871016776,0,2554207,192004,80795224,32667660,32427428,1783322,1453056,560973397,196539831
