Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100203806,1062769264,306928430,239984940,268085000,269431031,38,0,0,0,0,0,2291351,2369730,106839460,438135071,437897320,96026341,109497,326157789,0,102997831,117730126,13142480,7275267,7275377,114978,217024,887356304,238700770
     0.200614534,874348808,309247620,307478321,271913878,271948962,0,0,0,0,0,179,2387312,2405038,259643724,375719796,459780003,62307053,107983,338245429,0,105920549,125673742,9378436,7064814,6540822,75853,149220,581350352,174410757
     0.300969543,1524985266,309368388,309775599,269384099,272033905,135894762,0,0,0,0,0,2390089,2395497,157830516,519995220,611682214,107996160,73152,337431916,0,105344846,125004228,18324781,6557709,6557691,172478,449604,775491353,287170699
     0.401298478,1805537206,309771384,309680070,271731192,271917883,139009188,0,0,0,0,0,2364724,2400339,270934417,810679757,772831270,219076899,8251,827739953,0,1421639,3596400,1434744,1461099,1461099,86307,337782,801435138,292710607
     0.501583473,1812525301,309649020,309586136,269724321,271805829,134938850,0,0,0,0,0,2370626,2396774,270737073,798507763,772600050,210164738,38935,801893188,0,1899460,3003537,2197920,644101,644101,140344,407067,802547740,294244010
     0.601913295,1803618013,309497619,309637788,269824082,271883407,130920977,0,0,0,0,0,2391405,2404189,271517264,794871064,768312360,214446473,23884,820345152,0,1124955,3602405,3550177,1432494,1432493,114086,320128,802742922,292672654
     0.702239552,1802051584,309844843,309554948,271759474,271897645,136933176,0,0,0,0,0,2404822,2404821,271591831,807777913,765599689,223427870,9908,796989641,0,1075849,3571911,2403663,602543,602543,145399,404606,798686720,293401320
     0.802569967,1808136758,308048999,308982997,271674951,271826227,140769676,0,0,0,0,0,2404210,2404208,271544391,792430671,768247575,216034298,34993,784383048,0,2019453,3657393,1517847,1829438,1829437,61922,192251,799887517,291183087
     0.902909943,1758111298,309675586,308611096,271710445,271852318,137086541,0,0,0,0,0,2390458,2402955,270873809,807657559,755127760,218948573,10432,826210167,0,1642233,3572047,3654353,3718317,1214759,143356,453308,779162446,290457338
     1.003171118,1829730130,309021536,308940778,271117650,271301243,135731147,0,0,0,0,0,2395376,2398370,270520497,777620377,777283000,209367382,23661,421798432,0,73204682,430098,2640290,2526076,1312645,144281,448330,793654511,294748575
     1.103476202,1653450198,309520154,309567628,271548037,271838763,127031311,0,0,0,0,0,2393120,2399783,271098688,810983000,699595724,216581980,13473,825798862,0,1768552,3570407,1415261,19525843,2335281,58222,162776,758619627,283959645
     1.203769355,1670256615,309343390,309281136,270150691,271573052,127941094,0,0,0,0,0,2352095,2388787,269722876,780946804,711932105,213429416,42118,825575742,0,1914879,3616983,1201601,1844470,1844470,61518,165316,762669210,284363268
     1.304071381,1687250654,309683399,309591863,269806025,271854905,130426535,0,0,0,0,0,2404276,2404276,271537479,801074074,725253671,211989277,38940,815233614,0,919050,79070,1783423,1277564,1277565,107018,285941,763497707,284168347
     1.404384302,1752379643,309704935,309610749,271715672,271868162,130078976,0,0,0,0,0,2368238,2404208,271484851,803825620,749543465,219523224,12577,820810622,0,1183115,3572696,2307184,706558,706558,124027,344713,781237566,289138133
     1.504654034,1630492925,308112974,309027539,271599416,271761359,131222721,0,0,0,0,0,2403514,2403513,271434054,811637735,701581508,217796209,12797,823313432,0,1209608,77114,1009989,1920998,1921001,57452,160298,749902095,280206793
     1.604958108,1673007579,309694216,308716605,271395220,271837340,125101394,0,0,0,0,0,2404182,2404174,270753727,799355923,712718022,215476892,18538,825041723,0,2730150,91627,940854,2905654,2639092,58434,161282,760483074,284293732
     1.705262072,1676830042,309694374,309622298,271690922,271889185,123680864,0,0,0,0,0,2404036,2404059,271181063,807025434,716212899,218820736,9504,829340261,0,1296888,3571457,942046,2476190,2476191,59680,162717,768034892,284518298
     1.805573242,1679364625,309726333,309641055,271362419,271886389,124628237,0,0,0,0,0,2400587,2400687,271213000,804304099,717175299,218206003,13421,823311500,0,1373896,77516,970080,1900394,1900394,58556,165337,767684993,284223605
     1.905884861,1676501432,309739615,309633284,270840762,271898327,132281708,0,0,0,0,0,2279256,2397678,270603563,803207238,713753219,218428594,12842,813020047,0,1134033,78168,994984,1989622,1989622,58182,164865,761222021,284135619
     2.006187920,1755211299,309703666,309581986,269761126,271843208,132583171,0,0,0,0,0,2403956,2403966,271494810,756314505,749805849,202137237,71089,786472050,0,6466576,3700327,2166004,1986114,1414285,128242,360171,776189460,289619114
     2.106496189,1787185112,309676487,309458845,271708117,271816168,131794237,0,0,0,0,0,2404468,2404460,271572635,804599604,758446180,223657774,14242,808822964,0,1280800,3610796,1030749,2451358,2451359,65072,189607,793326068,291328152
     2.206799089,1786660187,308373595,309105882,271679224,271819879,140075843,0,0,0,0,0,2381243,2396528,270823987,807829910,756187608,223474152,11258,793619350,0,1100484,3572730,850384,1893454,1893454,66473,195157,779528298,288730025
     2.307099545,1833590662,309716403,308791191,271703241,271867430,140452313,0,0,0,0,0,2404321,2404320,271557948,819140509,779184369,220423957,13064,782921725,0,764282,77384,2129178,1739185,1739186,147114,427424,806335192,294593004
     2.407394583,1821600255,309571217,309617639,271685598,271876714,141169473,0,0,0,0,0,2403796,2403819,271179891,805309362,771082602,224042787,9829,781729689,0,752377,77931,2506020,628373,628373,146993,428101,805230321,294403327
     2.507696519,1832836570,309717869,309655403,271710729,271884872,142719775,0,0,0,0,0,2398041,2401115,271200683,807850208,782418567,223748037,14832,795693556,0,980146,3570397,2226883,619043,619044,148017,421586,810116119,294552388
     2.607996114,1819582366,309709448,309637445,270592109,271867369,142962590,0,0,0,0,0,2371273,2396295,270529090,804913436,772416817,223100291,13446,810656786,0,1498662,2333903,912497,1784443,1784438,64745,192103,806858032,293077045
     2.708300226,1831847340,309730423,309665338,271731943,271892543,141231452,0,0,0,0,0,2404640,2404640,271588252,795321211,780477399,218826498,33441,784539603,0,1186857,106078,2347278,1613562,1621444,145744,449319,804848997,294600776
     2.808605580,1827855776,309676989,309657037,271693059,271887731,139955150,0,0,0,0,0,2402834,2404262,271540150,805463726,779479886,223894863,9629,794537801,0,1940512,3572086,3180765,827612,817040,144839,437614,802965996,293926050
     2.908921463,1778376863,308619280,309240025,271621956,271893365,141401064,0,0,0,0,0,2404909,2404909,271579453,806344910,750247770,223014554,15642,796666667,0,1069033,3575073,869345,1793008,1793011,65709,196000,799314003,291610252
     3.009197289,1792261313,309657845,308625171,271635083,271764172,120173408,0,0,0,0,0,2403810,2403810,271495112,806982314,775091011,223595978,10165,788718838,0,888757,3574909,1047420,2931069,2931065,70973,197150,813712963,285619821
     3.109569306,1838730654,309943329,309739515,271885199,271980320,138848058,0,0,0,0,0,2399612,2404690,271583384,807392640,790404785,224377122,9974,810607628,0,986447,3574371,2220657,630947,630947,145059,437336,811596137,294867862
     3.209869268,1833478828,309726325,309765565,271709645,271982152,142301192,0,0,0,0,0,2385103,2400877,271109461,803227555,780864532,223739734,10105,806467380,0,1013710,3574176,831838,1793486,1793487,64846,191253,805103550,294485097
     3.310180868,1832862836,309750138,309663260,270677589,271898021,141237189,0,0,0,0,0,2336133,2398868,271065313,807071394,780477417,222551789,11686,805496275,0,1347129,3243601,941852,1906395,1906395,66885,204391,810278750,294719268
