Timestamp,inst_retired.any,cycles,cpu_clk_unhalted.thread,cpu_clk_unhalted.ref_tsc,msr/tsc/,fp_arith_inst_retired.scalar_single,fp_arith_inst_retired.scalar_double,fp_arith_inst_retired.128b_packed_double,fp_arith_inst_retired.128b_packed_single,fp_arith_inst_retired.256b_packed_double,fp_arith_inst_retired.256b_packed_single,cpu_clk_thread_unhalted.one_thread_active,cpu_clk_thread_unhalted.ref_xclk_any,cpu_clk_unhalted.ref_tsc:u,uops_issued.any,uops_retired.retire_slots,icache_64b.iftag_hit,icache_64b.iftag_miss,idq.dsb_uops,lsd.uops,idq.mite_uops,idq.ms_uops,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles_any,l1d_pend_miss.pending_cycles,mem_load_retired.l1_miss,mem_load_retired.fb_hit,uops_executed.thread,uops_executed.core_cycles_ge_1
     0.100252736,848533578,248241180,248003339,269634203,270456544,0,871,0,0,0,0,2359555,2385444,260999924,445071477,404254013,108915744,5015068,337677367,0,138273079,5103524,165518911,97472183,96317559,6733982,10525223,494772877,179494249
     0.200748789,762957755,249593609,249593083,271453130,272248436,0,179,0,0,0,0,2278776,2403223,263585371,425830028,356409063,103206205,4114526,291273414,0,133398643,5147593,222447056,121533108,118775307,5967002,9783644,453079011,167275267
     0.301166605,697418815,249396472,249321612,271171912,271877286,0,172,0,0,0,0,2276755,2399054,264543970,368417689,309672691,95488264,2754214,268173938,0,135386662,5203761,274811857,138930000,138132839,5388669,8769884,418759720,156733425
     0.401581078,660549089,249383457,249291307,270826342,271875626,0,134,0,0,0,0,2309518,2401902,265159020,352912839,311162616,86019864,3337587,251457539,0,100654258,3290486,276707048,149406647,147209035,5821436,10046558,355718446,138121554
     0.501976044,549291981,248897259,249125736,271595081,271754696,0,121,0,0,0,0,2365876,2400228,265664303,310004311,280488274,77006649,2643861,245863961,0,93859767,3378020,302166776,170216875,159289097,5219253,9057539,306554561,118940179
     0.602393895,567451188,249366593,249309596,271294865,271895929,0,117,0,0,0,0,2374108,2401416,266479497,303968407,260899881,76290891,2455154,177314327,0,80046200,3217891,340185467,162979076,161407122,4760962,8630676,330242442,127572997
     0.702820898,528096575,249413429,249233404,271350611,271845770,0,54,0,0,0,0,2212662,2401166,266817912,280189252,244490888,68152026,2513047,207721371,0,92559500,3821985,348774452,179676604,176759780,4849242,8663056,308486510,120194370
     0.803237786,513482890,249223411,249187886,271120842,271738678,0,77,0,0,0,0,2325675,2397980,266988823,138509828,240610593,36038836,1745127,215492293,0,70757610,3190904,368718168,178385386,175158488,4868600,9026941,278288996,112453517
     0.903648198,486358484,309305383,309291538,271407725,271974359,0,74,0,0,0,0,2345316,2401828,267242548,281801657,229975713,70892359,1991334,220007765,0,61977897,2582479,567394900,253715473,222941384,4353579,7903757,270356265,109496644
     1.004011521,461392079,309184807,309143963,271297922,271813818,0,119,0,0,0,0,2352333,2400869,267797332,249562532,218241677,60835972,1816131,191566101,0,54516705,2588909,566262706,229030358,228685948,4635961,8916428,266578133,107946257
     1.104423093,468545940,309353096,309219344,270401387,271928318,0,121,0,0,0,0,2309489,2401411,267786228,239262057,213131928,60005713,1703945,187682272,0,50923566,2157013,581817519,243866894,242676116,4501353,8737238,272290957,108899343
     1.204775921,465138961,309200480,309130824,271648935,271818186,0,142,0,0,0,0,2366206,2400608,268065632,230996882,218337413,58254290,1576175,195259454,0,53099542,2370811,585012146,241322859,240189736,4361477,8425422,260515916,105146091
     1.305139879,373492629,308932606,304735218,271102004,271587264,0,50,0,0,0,0,2367190,2396920,268140863,238113474,151655234,59615989,1612224,182816701,0,66767408,2583233,627252303,258796912,246658654,2619520,5294335,239222954,100055222
     1.405525090,439735174,309265523,308949563,271298568,271727995,0,109,0,0,0,0,2301940,2400773,268716848,215746331,201368069,53549169,1495992,179892794,0,50196296,2258052,593935576,251020274,249567756,4239599,8252340,251514244,102473007
